['SINGLE_MIDDLE'],['SINGLE_DOUBLE'],['SINGLE_ACROSS'],['DOUBLE_ACROSS'],['BRANCH_ACROSS'],['BRANCH_MIDDLE'],['TRANSFER_DOUBLE'],['CYTOSOL']
-0.012500023643332792,-0.012500090019926725,-0.013353733377806964,-0.012075859182209351,-0.013204828884650792,-0.0124644239863954,-0.012591967848951688,-0.01250000000000019
-0.025000031700984436,-0.02500000198317687,-0.0266305514792973,-0.02457832993268619,-0.02639930710136222,-0.02491153201622832,-0.02520770669828326,-0.025000000000000543
-0.03750001873946664,-0.03749990963000088,-0.03972886523910104,-0.03730329415088957,-0.03949700944356054,-0.03734335269025771,-0.03790592770660441,-0.03750000000000097
-0.05000001950597255,-0.050000058074681296,-0.052528423990614304,-0.04999992091806211,-0.0523355403262733,-0.04990373064651649,-0.050619259833273554,-0.050000000000001196
-0.0625000249513541,-0.06250004319688043,-0.06504462169895314,-0.06269654731281148,-0.06490474388572474,-0.06258978149185736,-0.06348561285381174,-0.0625000000000013
-0.07500000055697062,-0.07499981043476034,-0.07718427187299727,-0.07542152750322577,-0.07708688810730767,-0.07531640550253102,-0.07591701833282981,-0.07500000000000122
-0.0874999844800103,-0.08750004596863256,-0.08881068793105237,-0.0879240528666682,-0.08875938809224056,-0.08785845769965923,-0.0880199677413671,-0.08750000000000095
