['SINGLE_MIDDLE'],['SINGLE_DOUBLE'],['SINGLE_ACROSS'],['DOUBLE_ACROSS'],['BRANCH_ACROSS'],['BRANCH_MIDDLE'],['TRANSFER_DOUBLE']
-0.01250008954208808,-0.012500178912117028,-0.008685670175667928,-0.010153642641537204,-0.010584363296328576,-0.012747079959152353,-0.012144449880341964
-0.02499998877490719,-0.025000013441575913,-0.02039254941811033,-0.02334817898398771,-0.02167165222838485,-0.02547638180073642,-0.02311683740554318
-0.03749992918718591,-0.03749958269666897,-0.03269763233507466,-0.03686164445321745,-0.033502110769739794,-0.03815808473193697,-0.035666202769384654
-0.049999925848309625,-0.05000028069599209,-0.045416520924979116,-0.050000154630357896,-0.04600110922650454,-0.05076536371328523,-0.04868011609032726
-0.06249995934860786,-0.06249973355217249,-0.05849793697899408,-0.06313865007582795,-0.05893044262422977,-0.06376993297871215,-0.061464080193549056
-0.07499995647827953,-0.07500006346070985,-0.07198927448793892,-0.07665206250350622,-0.07228691811430565,-0.07706740137269782,-0.07418574639910358
-0.08749986857565942,-0.08750015017346648,-0.08587702734744766,-0.08984649959439628,-0.08602702136750451,-0.09004138048646698,-0.08701628214486595
