,sig_xx,sig_yy,sig_zz,sig_xy,sig_xz,sig_yz,eps_xx,eps_yy,eps_zz,eps_xy,eps_xz,eps_yz,Azimuth,Elevation
0,3.129823040871795e-15,6.406743313019673e-14,1.3977739770815787e-14,-1.7535526827852698e-15,5.509804038371591e-15,-1.1933454770608137e-14,-1.7763568394002505e-15,0.0,0.0,4.956494011317115e-15,1.1336404018635292e-15,-7.547636882495473e-30,0.14043000106687267,-0.4922736161621916
1,-8.791439107842124e-15,3.0192983341076115e-16,3.421014163034578e-15,-6.3342074738803765e-15,2.4687202619389447e-15,3.6999305719817114e-29,-6.106226635438361e-15,0.0,0.0,1.066072427593903e-14,1.2343601309694832e-15,0.0,0.0,0.0
2,1.2353029090090113e-14,6.994542767625696e-15,3.936201953851246e-14,-6.384951206997184e-15,1.1164647362222262e-14,1.907985124401609e-14,-1.0880185641326534e-14,5.551115123125783e-15,2.020605904817785e-14,-2.584355602216995e-16,4.196870117874877e-15,2.235235715837655e-14,0.07354410229661139,-0.27678484261484776
3,1.0626111575397509e-13,1.5384098688676325e-15,-4.16544296077958e-14,5.036018289548856e-14,2.7446117054377682e-14,-2.3335485809121375e-14,-7.549516567451064e-15,5.773159728050814e-15,1.0658141036401503e-14,1.836572695847477e-14,-7.32680433015636e-15,-1.706802573611793e-14,0.0,0.0
4,-1.573873060921978e-15,2.1088642699934215e-14,2.68872732080919e-14,-1.5249823878263387e-14,1.1085797531627033e-14,3.031103033649754e-14,-9.992007221626409e-16,-1.1324274851176597e-14,1.9761969838327786e-14,-1.0100565148303372e-14,-4.310163829324673e-15,1.0672341339743966e-14,0.0,0.0
5,-5.499027980802659e-15,-4.4606932811959775e-15,-2.121090448263415e-15,9.363906453948835e-15,-2.17765668974427e-14,-1.2520960100376341e-14,-3.885780586188048e-15,3.774758283725532e-15,-2.55351295663786e-15,3.300811920449189e-15,-1.0937667569539353e-14,-3.0441504020511e-15,0.0249051521746148,-0.120082938310325
6,1.1294660034040091e-13,9.892598464055556e-15,1.0221432161600454e-13,-3.1806104890193174e-14,1.2987111039074542e-13,-2.162456354228351e-14,-4.884981308350689e-15,0.0,0.0,1.420564449407966e-14,7.084826174112187e-15,0.0,0.0,0.0
7,3.287099558922693e-16,1.6257055807530913e-14,2.1793406369606963e-14,-1.0156855659259417e-14,-7.747514164789475e-15,-3.328035527843173e-14,-6.439293542825908e-15,1.7763568394002505e-15,-1.0547118733938987e-14,3.2012554555394755e-15,-1.1378345662823855e-14,-8.21187636124174e-17,0.14043000106687273,-0.49227361616219173
8,1.5001713574433056e-14,1.531024829089511e-14,4.246070144819667e-14,-2.5740379280734927e-15,1.1456237731586532e-14,-1.3244205547242743e-14,-3.4416913763379853e-15,0.0,0.0,2.504581906987732e-15,1.2798496094731805e-15,0.0,0.14043000106687265,-0.4922736161621917
9,-8.732662318919694e-15,6.156401594688428e-16,1.6224457427805654e-14,1.2989394512749468e-15,-7.322230078650873e-15,4.777969284282512e-16,-5.10702591327572e-15,0.0,0.0,6.8590892954703434e-15,1.085706429261694e-15,-9.328280204238465e-29,0.13673686823211462,-0.4803753135342649
