,sig_xx,sig_yy,sig_zz,sig_xy,sig_xz,sig_yz,eps_xx,eps_yy,eps_zz,eps_xy,eps_xz,eps_yz,Azimuth,Elevation
0,6.652879739240097e-16,9.92473169201638e-16,7.963498730145776e-16,4.6917154775181194e-18,-8.811492290511888e-17,4.120561439385314e-16,0.0,0.0,0.0,8.080614707770983e-18,-2.5030261995410058e-17,-4.301576581640341e-32,0.0,0.0
1,9.788030475841676e-16,1.8181482871530062e-15,1.2008476525092005e-15,1.5918200793491186e-15,-8.220132439240069e-16,-2.371910516159511e-30,-1.1102230246251565e-16,0.0,0.0,6.468346689367231e-16,-4.1100662196200304e-16,0.0,0.0,0.0
2,1.0126907020011255e-15,2.3918425705377925e-16,1.3417918310817168e-15,-1.5915298722823215e-16,1.3453662154599037e-17,5.61073661094995e-16,2.220446049250313e-16,0.0,-7.771561172376096e-16,-1.9168704948671e-16,8.188333773955093e-17,-1.1788439962264047e-16,0.0082313378235323,-0.1083999625884752
3,-5.095301854877047e-16,2.859421267312742e-17,1.0362577555755569e-15,-5.057970129045652e-16,-5.006318342387178e-16,-4.855980680816274e-16,-2.220446049250313e-16,2.220446049250313e-16,6.661338147750939e-16,-7.858355185989294e-17,-1.217707108756802e-16,-3.7066628861612857e-16,0.0,0.0
4,4.810271719839157e-16,-2.0850660168204653e-16,3.552799013730046e-16,-5.1825790007403055e-17,-3.819209390083668e-16,-4.0124628009070026e-16,2.220446049250313e-16,0.0,-1.1102230246251565e-16,1.1918373899106718e-17,4.311871370193003e-17,-1.2706821728178462e-16,0.0,0.0
5,1.3463706177061062e-15,-3.014903861172205e-17,4.581921980059803e-16,9.104739746394355e-17,-4.344766355801828e-16,-9.550384633578122e-17,4.440892098500626e-16,0.0,0.0,-2.8953638773432946e-17,-2.1723831779009119e-16,1.3335554317479993e-16,0.0,0.0
6,1.975168519193005e-15,2.102980423648207e-16,1.2248338307241746e-15,1.3722904349648226e-16,-8.287477851023846e-16,2.1867802177896846e-16,4.440892098500626e-16,0.0,0.0,-5.174706616816933e-19,-4.859722197050727e-16,0.0,0.0,0.0
7,2.6262785835341234e-16,1.946542931544167e-16,-1.0880783751955074e-16,1.7047996774913246e-17,-4.770980426099454e-16,3.2588858720113197e-16,-2.220446049250313e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,1.2201300700261865e-16,-4.687074247253565e-17,6.926094054859041e-17,-0.079850231166203,-0.15014309518556682
8,7.254740410727996e-16,2.311707014573255e-16,8.654899034788507e-16,-1.6011377747470026e-16,-2.91371014475128e-16,2.4570097357320533e-16,0.0,0.0,0.0,-1.456410576836107e-16,-5.867010776707223e-17,0.0,-0.079850231166203,-0.1501430951855668
9,1.3752269337431586e-15,1.0190413833423552e-15,1.4313004313209735e-15,1.3090527717245317e-15,-1.6676059049392428e-15,-4.707189274106894e-16,-1.1102230246251565e-16,0.0,0.0,5.494119422315549e-16,-4.502039541246002e-16,-1.2424559257230936e-29,-0.07198720467602138,-0.14641669292958123
