Node,Azi_[RAD],Ele_[RAD]
"[60.99329060095215, 92.3034585544383, 103]",-0.2918068361841449,-0.0214463531138161
"[76.54963978705655, 21.592780435783425, 115]",-0.2918068361841449,-0.0214463531138161
"[75.84253300586988, 3.91511090611948, 112]",-0.2918068361841449,-0.0214463531138161
"[63.114610944511696, 37.856236403074035, 95]",-0.2918068361841449,-0.0214463531138161
"[65.94303806925836, 56.24101271392465, 101]",-0.2918068361841449,-0.0214463531138161
"[66.65014485044458, 110.68823486528845, 111]",-0.2918068361841449,-0.0214463531138161
"[64.52882450688503, 128.36590439495194, 103]",-0.2918068361841449,-0.0214463531138161
"[80.08517369298897, 122.70905014545997, 129]",-0.2918068361841449,-0.0214463531138161
"[73.01410588112321, 131.1943315196986, 103]",-0.2918068361841449,-0.0214463531138161
"[63.114610944511696, 37.856236403074035, 110]",-0.2918068361841449,-0.0214463531138161
"[65.94303806925836, 23.714100779343426, 115]",-0.2918068361841449,-0.0214463531138161
"[62.40750416332503, 24.421207560530092, 100]",-0.2918068361841449,-0.0214463531138161
"[70.18567875637746, 125.53747727020618, 124]",-0.2918068361841449,-0.0214463531138161
"[56.75064991383306, 124.83037048901951, 113]",-0.2918068361841449,-0.0214463531138161
"[75.13542622468321, 89.47503142969208, 127]",-0.2918068361841449,-0.0214463531138161
"[64.52882450688503, 134.02275864444437, 106]",-0.2918068361841449,-0.0214463531138161
"[71.59989231875034, 108.5669145217289, 130]",-0.2918068361841449,-0.0214463531138161
"[68.77146519400412, 20.885673654596758, 100]",-0.2918068361841449,-0.0214463531138161
"[10.788709136707439, 193.41972826411438, 60]",-0.0587457382333757,0.0911667320935109
"[5.131854887215013, 176.44916551563801, 51]",-0.0587457382333757,0.0911667320935109
"[35.537446478236234, 134.72986542563103, 84]",-0.0587457382333757,0.0911667320935109
"[35.537446478236234, 122.00194336427376, 77]",-0.0587457382333757,0.0911667320935109
"[24.223737979251837, 179.98469942156999, 67]",-0.0587457382333757,0.0911667320935109
"[17.859776948572744, 134.02275864444482, 65]",-0.0587457382333757,0.0911667320935109
"[36.2445532594229, 139.6796128939368, 82]",-0.0587457382333757,0.0911667320935109
"[3.7176413248416793, 143.92225358105588, 54]",-0.0587457382333757,0.0911667320935109
"[40.48719394654245, 108.5669145217289, 74]",-0.0587457382333757,0.0911667320935109
"[20.688204073318957, 207.5618638878459, 71]",-0.0587457382333757,0.0911667320935109
"[12.202922699080318, 131.1943315196986, 60]",-0.0587457382333757,0.0911667320935109
"[34.12323291586381, 206.85475710665924, 78]",-0.0587457382333757,0.0911667320935109
"[37.658766821796235, 66.14050765053616, 80]",-0.0587457382333757,0.0911667320935109
"[16.44556338619941, 208.97607745021878, 70]",-0.0587457382333757,0.0911667320935109
"[24.93084476043805, 214.63293169971075, 81]",-0.0587457382333757,0.0911667320935109
"[20.688204073318957, 87.35371108613253, 58]",-0.0587457382333757,0.0911667320935109
"[43.31562107128866, 122.70905014545951, 86]",-0.0587457382333757,0.0911667320935109
"[34.83033969705002, 217.46135882445697, 87]",-0.0587457382333757,0.0911667320935109
"[17.152670167386532, 137.5582925503777, 59]",-0.0587457382333757,0.0911667320935109
"[39.78008716535578, 64.01918730697662, 72]",-0.0587457382333757,0.0911667320935109
"[0.1821074189092542, 120.58772980190042, 51]",-0.0587457382333757,0.0911667320935109
"[49.67958210196775, 93.71767211681163, 87]",-0.0587457382333757,0.0911667320935109
"[39.07298038416957, 179.27759264038377, 80]",-0.0587457382333757,0.0911667320935109
"[30.587699009930475, 220.28978594920318, 94]",-0.0587457382333757,0.0911667320935109
"[26.345058322811383, 163.72124345427983, 69]",-0.0587457382333757,0.0911667320935109
"[3.0105345436550124, 206.85475710665924, 59]",-0.0587457382333757,0.0911667320935109
"[24.93084476043805, 105.73848739698315, 66]",-0.0587457382333757,0.0911667320935109
"[39.78008716535578, 122.0019433642733, 77]",-0.0587457382333757,0.0911667320935109
"[39.072980384169114, 192.0055147017415, 74]",-0.0587457382333757,0.0911667320935109
"[27.05216510399805, 174.327845172078, 66]",-0.0587457382333757,0.0911667320935109
"[36.2445532594229, 61.89786696341707, 83]",-0.0587457382333757,0.0911667320935109
"[4.424748106028346, 148.87200104936255, 48]",-0.0587457382333757,0.0911667320935109
"[21.395310854505624, 75.33289580596102, 66]",-0.0587457382333757,0.0911667320935109
"[274.53953851928964, 170.08520448495847, 70]",-0.1121578130059692,-0.0353998390634213
"[253.32633508369327, 131.90143830088527, 45]",-0.1121578130059692,-0.0353998390634213
"[249.7908011777604, 197.66236895123393, 52]",-0.1121578130059692,-0.0353998390634213
"[273.83243173810297, 142.50804001868346, 59]",-0.1121578130059692,-0.0353998390634213
"[242.71973336589508, 146.75068070580255, 36]",-0.1121578130059692,-0.0353998390634213
"[242.71973336589508, 152.40753495529498, 42]",-0.1121578130059692,-0.0353998390634213
"[268.8826842697972, 216.75425204327075, 61]",-0.1121578130059692,-0.0353998390634213
"[263.2258300203048, 178.5704858591971, 55]",-0.1121578130059692,-0.0353998390634213
"[266.054257145051, 204.02632998191302, 63]",-0.1121578130059692,-0.0353998390634213
"[269.5897910509839, 87.35371108613253, 63]",-0.1121578130059692,-0.0353998390634213
