ID,Node
27,"[1609.1901166456228, 1095.5058428472707, 45]"
27,"[1630.4033200812191, 1050.2510088513316, 86]"
27,"[1624.0393590505403, 1043.8870478206527, 83]"
27,"[1561.813962306124, 1328.1439738576448, 28]"
27,"[1611.3114369891823, 1171.1662684342311, 71]"
27,"[1583.0271657417204, 1199.4505396816933, 24]"
27,"[1619.0896115822343, 1087.020561473032, 36]"
27,"[1612.018543770369, 1120.9616869699864, 40]"
27,"[1549.7931470259527, 1425.0176028802018, 35]"
27,"[1545.5505063388334, 1430.6744571296942, 39]"
30,"[1596.4621945842648, 1044.5941546018391, 145]"
30,"[1615.5540776763016, 1130.1540751254115, 150]"
30,"[1588.6840199912128, 1134.3967158125308, 160]"
30,"[1597.1693013654512, 1100.4555903155765, 147]"
30,"[1595.0479810218917, 1136.5180361560904, 156]"
33,"[1257.7580463959087, 1379.0556621030762, 142]"
33,"[1201.8966106821713, 1495.7282809988565, 116]"
33,"[1285.3352108621839, 1447.6450198781713, 178]"
33,"[1267.6575413325202, 1478.0506114691927, 165]"
33,"[1219.574280211835, 1424.3104960990152, 115]"
33,"[1274.7286091443857, 1387.5409434773146, 162]"
33,"[1275.4357159255721, 1416.5323215059632, 168]"
33,"[1265.5362209889604, 1450.4734470029175, 157]"
33,"[1252.1011921464162, 1438.4526317227462, 148]"
33,"[1302.305773610661, 1350.0642840744279, 174]"
33,"[1308.6697346413398, 1356.4282451051067, 182]"
33,"[1306.5484142977805, 1389.6622638208744, 176]"
33,"[1241.4945904286178, 1515.52727087208, 146]"
33,"[1284.6281040809974, 1390.369370602061, 172]"
33,"[1317.862122796765, 1402.3901858822323, 185]"
33,"[1227.3524548048872, 1539.5689014324225, 130]"
33,"[1241.4945904286178, 1563.6105319927651, 139]"
33,"[1219.5742802118348, 1493.606960655297, 134]"
33,"[1238.6661633038718, 1427.846030004948, 139]"
33,"[1330.5900448581228, 1334.5079348883237, 193]"
33,"[1220.2813869930214, 1417.9465350683363, 116]"
33,"[1254.9296192711622, 1412.9967876000305, 143]"
33,"[1286.749424424557, 1392.4906909456206, 170]"
33,"[1252.1011921464162, 1398.8546519762997, 142]"
33,"[1306.5484142977805, 1368.449060385278, 187]"
33,"[1311.498161766086, 1412.9967876000305, 190]"
33,"[1262.0006870830277, 1541.6902217759823, 150]"
33,"[1237.2519497414985, 1430.6744571296942, 133]"
33,"[1262.7077938642144, 1492.8998538741105, 165]"
33,"[1271.1930752384528, 1477.3435046880063, 160]"
33,"[1291.699171892863, 1437.038418160373, 180]"
33,"[1247.1514446781102, 1441.9881656286789, 146]"
33,"[1303.719987173034, 1384.0054095713822, 182]"
33,"[1245.0301243345507, 1531.7907268393706, 149]"
33,"[1225.9382412425139, 1426.431816442575, 125]"
33,"[1303.0128803918476, 1366.3277400417185, 176]"
33,"[1290.2849583304899, 1376.22723497833, 172]"
33,"[1269.77886167608, 1409.4612536940976, 158]"
33,"[1232.3022022731927, 1521.8912319027588, 135]"
33,"[1261.2935803018413, 1449.0592334405446, 160]"
33,"[1209.6747852752233, 1499.2638149047893, 116]"
33,"[1230.180881929633, 1536.7404743076763, 134]"
33,"[1259.1722599582818, 1490.7785335305507, 157]"
33,"[1337.6611126699884, 1290.6673144547578, 189]"
34,"[1306.5484142977805, 1362.7922061357856, 26]"
34,"[1301.5986668294745, 1388.955157039688, 24]"
34,"[1305.8413075165938, 1390.369370602061, 42]"
35,"[1196.9468632138653, 1441.2810588474924, 89]"
35,"[1206.846358150477, 1451.1805537841042, 102]"
35,"[1201.8966106821713, 1474.51507756326, 97]"
43,"[646.1106806695448, 2043.0289296372443, 198]"
43,"[618.5335162032695, 2076.262948353012, 185]"
