,ID,Area,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD]
0,959,3758,2,"[1403.7344332091538, 1629.023948908994, 160.81160191591272]",0.5524574784319654,-0.7144457015044849
1,1049,3124,2,"[1405.6312419974392, 1604.7352752880922, 190.77720870678615]",0.10126213753784714,0.0487139758940973
2,1066,93523,35,"[1450.144274670402, 1712.7064465425617, 172.59159778877924]",0.17261033190041955,-0.11794414726761598
3,1069,13174,5,"[1430.410353727038, 1642.012296948535, 201.94845908607863]",0.07097626042516976,0.045798720808350075
4,1110,43668,16,"[1520.6824219107814, 1829.3269671155078, 196.47442062837774]",0.23972500709421296,-0.08232769564297192
5,1111,2803,2,"[1570.4773457010347, 1423.2789867998572, 141.8408847663218]",0.0768691882023607,-0.0385251046374473
6,1126,43705,16,"[1554.771925408992, 1442.5962246882507, 168.9986271593639]",0.05656663275994857,-0.04302214279612039
7,1129,56504,21,"[1562.3264901599887, 2053.945048138185, 183.78636910661191]",0.12778446911433008,0.2475872252729381
8,1136,30049,11,"[1540.5810509501148, 1963.7078771340143, 193.65659422942528]",0.20888546773452607,0.22207895389665447
9,1149,9290,4,"[1561.1122712594188, 1428.1787944025834, 195.90764262648008]",-0.04312884054509066,-0.02234823333783991
10,1158,4427,2,"[1586.3781341766432, 1650.6333860402078, 142.02010390783826]",0.08672746886370501,-0.015443389702220754
11,1175,7067,3,"[1595.737229375973, 1476.5746427055328, 206.58964199801898]",0.10774428022229149,0.05218072546113581
12,1177,82993,31,"[1625.9473811044304, 1557.2390081091175, 179.25997373272446]",0.08275516605405375,-0.11693827769238863
13,1217,29887,11,"[1687.6992672399372, 1682.7283099675444, 198.29665071770336]",0.15931740566494546,-0.010150519359888326
14,1229,42692,16,"[1730.5137730722383, 2008.3993488241358, 148.52960742059403]",0.0796538448829083,-0.04618025118529397
15,1239,23183,9,"[1709.0353276107494, 1796.2100677220378, 195.39748953974896]",0.11517520554603002,0.3400716139294886
16,1241,20361,8,"[1712.4918717155347, 1895.3213005255145, 173.8627768773636]",0.1434620819113408,0.0357425222105185
17,1254,11359,5,"[1743.3289021920943, 1502.6358834404436, 142.3082137512105]",0.08185955310381976,-0.015707212812239253
18,1266,19173,7,"[1754.3017263860638, 1983.4677410942472, 168.59182183278568]",0.08318096423486233,0.05650844505390631
19,1267,27377,10,"[1807.617890930343, 1423.3491251780692, 175.82971107133724]",-0.0890970543495263,0.21099263645434055
20,1272,42250,16,"[1761.1189822485208, 1901.4347692307692, 197.4040946745562]",0.163373111146538,-0.02851605201704914
21,1321,56706,21,"[1852.4701971572672, 1563.2262899869502, 195.65656191584665]",0.43102362433339014,0.011041498634825236
22,1322,36604,14,"[1834.8791115725057, 2051.1470331111354, 197.92033657523768]",0.1687537884576009,0.06660115457486182
23,1339,106433,39,"[1957.491426531245, 1940.749682899101, 160.2587355425479]",0.17099213011183387,0.092341261494098
24,1344,41198,16,"[1888.4355065779891, 1752.4393174425943, 172.15517743579784]",0.13623666460555592,-0.0071928146598289
25,1363,44997,17,"[1925.580794275174, 1730.9887770295798, 197.4004489188168]",0.1582536665164175,0.08269434071076319
26,1408,32277,12,"[1975.7997335564023, 1900.9578957152153, 183.7795643956997]",0.12523346454132356,0.035346957459640775
27,1422,38868,15,"[2035.7291859627458, 1930.5551353298342, 203.30140475455386]",0.14467472695102704,0.018361597331293916
28,1431,42870,16,"[2041.0547469092605, 1643.99596454397, 150.19248891999067]",0.10995181963394243,-0.1072534426316575
29,1433,66534,25,"[2047.0996633300267, 1489.731776234707, 194.21745273093455]",0.3490993185749817,0.054324997744041606
30,1436,39950,15,"[2046.0791239048813, 1578.648785982478, 172.42978723404255]",0.07495467368005317,-0.04102166238785899
