n,a,e
1.0,0.0,0.0
2.0,0.0,0.0
3.0,0.02414812037993266,0.050747214325764546
4.0,0.0502495793091116,0.06204528138750641
5.0,0.0,0.0
6.0,0.0,0.0
7.0,0.0,0.0
8.0,0.0,0.0
9.0,-0.088610206374334,-0.0342250659477714
10.0,0.0,0.0
11.0,-0.088610206374334,-0.0342250659477714
12.0,0.0,0.0
13.0,0.0,0.0
14.0,0.1237323017191282,-0.13972714608506706
15.0,0.0,0.0
16.0,0.0,0.0
17.0,0.0,0.0
18.0,0.12373230171912822,-0.13972714608506712
19.0,0.13012899283858465,-0.06698302971487138
20.0,0.1425051945872217,0.0737609648615584
21.0,0.08161721589012959,-0.05917374966156852
22.0,0.0,0.0
23.0,0.0,0.0
24.0,0.0,0.0
25.0,0.0,0.0
26.0,0.0,0.0
27.0,0.0,0.0
28.0,0.0,0.0
29.0,0.0,0.0
30.0,0.0,0.0
31.0,0.0,0.0
32.0,0.08508840825677462,0.3432438488300327
33.0,0.0,0.0
34.0,0.0023192203641079,0.20370696054414383
35.0,0.0,0.0
36.0,-0.045215313911159405,0.0031786542475755004
37.0,0.0,0.0
38.0,-0.029579609134878743,0.10326465559172056
39.0,0.0,0.0
40.0,0.0,0.0
41.0,0.0,0.0
42.0,0.0,0.0
43.0,0.0,0.0
44.0,0.0,0.0
45.0,0.0,0.0
46.0,0.0,0.0
47.0,0.0,0.0
48.0,0.0,0.0
49.0,0.24111207877424967,0.1211902691134896
50.0,0.13906228686146588,-0.05892942586302549
51.0,0.1390622868614659,-0.0589294258630255
52.0,0.0,0.0
53.0,0.2411120787742497,0.1211902691134896
54.0,0.1390622868614659,-0.0589294258630255
55.0,0.0,0.0
56.0,0.0,0.0
57.0,0.0,0.0
58.0,0.0,0.0
59.0,0.0,0.0
60.0,0.0,0.0
61.0,0.0,0.0
62.0,0.0,0.0
63.0,0.05156755207103183,0.06248087291549586
64.0,0.0,0.0
65.0,0.0023192203641079,0.20370696054414378
66.0,0.05180806555809966,0.06256036290220945
67.0,0.0502495793091116,0.06204528138750641
68.0,0.0023192203641079,0.20370696054414383
69.0,0.0023192203641079,0.20370696054414383
70.0,0.08825338371986022,-0.12398992318206001
71.0,0.05559891142794314,0.10606343634126819
72.0,0.03334117188988514,0.0712900228990823
73.0,0.06862603570410063,-0.034325558878261934
74.0,0.08130502239696245,-0.08951624964171975
75.0,0.05668412705550051,0.10486181584915738
76.0,0.031163321671268805,0.08058615813284334
77.0,0.0,0.0
78.0,0.0,0.0
79.0,-0.088610206374334,-0.0342250659477714
80.0,0.1310207395022869,-0.05684195492078267
81.0,-0.08861020637433399,-0.03422506594777141
82.0,0.12373230171912818,-0.13972714608506706
83.0,-0.08861020637433402,-0.0342250659477714
84.0,-0.08861020637433402,-0.0342250659477714
85.0,0.0,0.0
86.0,-0.08861020637433402,-0.0342250659477714
87.0,-0.088610206374334,-0.0342250659477714
88.0,-0.088610206374334,-0.03422506594777141
89.0,0.12373230171912815,-0.13972714608506703
90.0,0.1237323017191282,-0.13972714608506706
91.0,0.12427997235378334,-0.13349895472239304
92.0,0.14250519458722172,0.07376096486155843
93.0,0.1343163125749511,-0.01936421109551218
94.0,0.0,0.0
95.0,-0.08861020637433402,-0.034225065947771395
96.0,0.0,0.0
97.0,0.0,0.0
98.0,0.0,0.0
99.0,0.0,0.0
100.0,0.0,0.0
101.0,0.0,0.0
102.0,0.12373230171912822,-0.1397271460850671
103.0,0.12373230171912822,-0.1397271460850671
104.0,0.0,0.0
105.0,0.0,0.0
106.0,-0.088610206374334,-0.0342250659477714
107.0,0.0,0.0
108.0,0.0,0.0
109.0,0.0,0.0
110.0,0.001179739615674606,-0.19965342545709003
111.0,0.0,0.0
112.0,0.07094769956648081,-0.04636247558570631
113.0,0.0,0.0
114.0,0.23986768363135233,0.1590174461957885
115.0,0.0,0.0
116.0,0.0,0.0
117.0,0.0,0.0
118.0,0.0850884082567746,0.34324384883003267
119.0,0.0,0.0
120.0,0.23986768363135233,0.1590174461957885
121.0,0.0,0.0
122.0,0.0023192203641079004,0.20370696054414383
123.0,0.0023192203641079,0.2037069605441438
124.0,0.0023192203641079,0.2037069605441438
125.0,0.0,0.0
126.0,0.0,0.0
127.0,0.0,0.0
128.0,0.0959800993154468,-0.015927045870822134
129.0,-0.023606531780169377,-0.16976005225665164
130.0,-0.015336927083824404,-0.23594308519288404
131.0,0.0709476995664808,-0.0463624755857063
132.0,0.0,0.0
133.0,0.0,0.0
134.0,-0.015336927083824399,-0.23594308519288398
135.0,0.0,0.0
136.0,0.0,0.0
137.0,-0.0153369270838244,-0.23594308519288396
138.0,0.0709476995664808,-0.046362475585706296
139.0,0.0709476995664808,-0.0463624755857063
140.0,0.0,0.0
141.0,0.0,0.0
142.0,0.0,0.0
143.0,0.4869411474524786,0.1462820771548763
144.0,0.0,0.0
145.0,-0.088610206374334,-0.0342250659477714
146.0,0.23986768363135233,0.15901744619578853
147.0,0.0,0.0
148.0,0.0,0.0
149.0,-0.088610206374334,-0.0342250659477714
150.0,0.0,0.0
151.0,0.0,0.0
152.0,0.0,0.0
153.0,0.0,0.0
154.0,0.0,0.0
155.0,0.0,0.0
156.0,0.0,0.0
157.0,0.0,0.0
158.0,0.23986768363135233,0.15901744619578853
159.0,0.2398676836313523,0.15901744619578853
160.0,0.23986768363135227,0.1590174461957885
161.0,-0.088610206374334,-0.0342250659477714
162.0,0.0,0.0
163.0,0.2411120787742497,0.12119026911348958
164.0,0.2411120787742497,0.1211902691134896
165.0,0.0,0.0
166.0,0.1390622868614659,-0.058929425863025506
167.0,0.1390622868614659,-0.0589294258630255
168.0,0.4869411474524786,0.1462820771548763
169.0,0.0,0.0
170.0,-0.44602598734572557,-0.2058085900383214
171.0,0.0,0.0
172.0,0.0,0.0
173.0,0.0,0.0
174.0,0.0,0.0
175.0,0.0,0.0
176.0,0.0314744743202832,0.14660925856507326
177.0,0.023441560719624558,0.17675794161550898
178.0,0.0826104391454445,-0.04131722472131083
179.0,0.002319220364107901,0.20370696054414386
180.0,0.06555918938780644,0.07892002950650405
181.0,0.0023192203641079004,0.2037069605441438
182.0,0.07448119107837523,-0.0455246967335232
183.0,0.12652450076737984,-0.1079738460270168
184.0,0.0960519481616319,-0.12744909707643182
185.0,0.13815221179740256,0.024258201525539376
186.0,0.05424753889152427,0.06336661167115044
187.0,0.059786160926150286,0.06519713268396997
188.0,0.0023192203641078995,0.2037069605441438
189.0,0.006500825812784252,0.18585781306244772
190.0,0.008321788003802403,0.17808505135525135
191.0,0.0023192203641079,0.20370696054414383
192.0,0.0023192203641079004,0.2037069605441438
193.0,0.0023192203641079,0.20370696054414378
194.0,0.06773854270841534,0.08925212787308662
195.0,0.002319220364107899,0.20370696054414375
196.0,0.061898964306243635,0.07335750160497943
197.0,0.007395388181916296,0.1494609400625866
198.0,0.038610873371385884,0.16292963449289688
199.0,0.0016020787204294846,0.16291988291153328
200.0,0.0023192203641078995,0.20370696054414375
201.0,0.031731121846145065,0.15618465377918264
202.0,0.0023192203641079013,0.20370696054414383
203.0,0.0768729679797487,-0.04530556345864297
204.0,0.08638606447701931,-0.11446379921109938
205.0,0.052238982681609494,0.05973744445772259
206.0,0.017073322572882774,0.190310588776547
207.0,0.0729897719199726,0.15335588321137597
208.0,0.0023192203641079,0.20370696054414375
209.0,0.1904225772634456,0.03172239877779426
210.0,0.0,0.0
211.0,0.0,0.0
212.0,0.0,0.0
213.0,0.0,0.0
214.0,0.1390622868614659,-0.05892942586302549
215.0,0.2725414139017388,0.2808541358633548
216.0,0.0,0.0
217.0,0.24111207877424967,0.1211902691134896
218.0,0.0,0.0
219.0,0.0,0.0
220.0,0.0,0.0
221.0,0.0,0.0
222.0,0.0,0.0
223.0,0.24111207877424973,0.12119026911348958
224.0,0.2411120787742497,0.12119026911348958
225.0,0.0,0.0
226.0,0.24111207877424964,0.12119026911348957
227.0,0.06495015175897859,0.06690383764964611
228.0,0.0,0.0
229.0,0.07030388360892786,0.0686732522417713
230.0,0.0,0.0
231.0,0.0,0.0
232.0,0.0,0.0
233.0,0.0,0.0
234.0,0.0,0.0
235.0,0.0023192203641078995,0.2037069605441438
236.0,0.0,0.0
237.0,0.2411120787742497,0.1211902691134896
238.0,0.24111207877424962,0.12119026911348961
239.0,0.0,0.0
240.0,0.0,0.0
241.0,0.0,0.0
242.0,0.2725414139017388,0.2808541358633548
243.0,0.0,0.0
244.0,0.0,0.0
245.0,0.0,0.0
246.0,0.0,0.0
247.0,0.0,0.0
248.0,0.0,0.0
249.0,0.0,0.0
250.0,0.0,0.0
251.0,0.0,0.0
252.0,0.2411120787742497,0.1211902691134896
253.0,0.14333021376990332,-0.05139645907768603
254.0,0.24111207877424976,0.1211902691134896
255.0,0.13906228686146593,-0.05892942586302552
256.0,0.1516490039793499,-0.03171624369983167
257.0,0.13906228686146588,-0.05892942586302549
258.0,0.0,0.0
259.0,0.0,0.0
260.0,0.07514073185890986,0.07027183620400212
261.0,0.0,0.0
262.0,0.0023192203641079,0.2037069605441438
263.0,0.0,0.0
264.0,0.0,0.0
265.0,0.0,0.0
266.0,0.27254141390173886,0.28085413586335484
267.0,0.0,0.0
268.0,0.27254141390173886,0.2808541358633549
269.0,0.0,0.0
270.0,0.24111207877424973,0.1211902691134896
271.0,0.0,0.0
272.0,0.0,0.0
273.0,0.0,0.0
274.0,0.0,0.0
275.0,0.0,0.0
276.0,0.0,0.0
277.0,0.0,0.0
278.0,0.0,0.0
279.0,0.0,0.0
280.0,0.0,0.0
281.0,0.0,0.0
282.0,0.32519878248195694,-0.2491419320048419
283.0,-0.19423985939908808,-0.08141012029917964
284.0,0.03542276739891275,0.005455665320156994
285.0,0.0,0.0
286.0,0.11191471994680818,0.007615600428796299
287.0,0.2441331094227814,0.08328884628782614
288.0,0.0,0.0
289.0,-0.037756226165484255,-0.03282459911269534
290.0,0.3251987824819569,-0.24914193200484186
291.0,0.0,0.0
292.0,0.0850884082567746,0.3432438488300327
293.0,-0.014888755263522268,0.14952288035213532
294.0,0.08997940062858088,-0.13362814818070962
295.0,0.0,0.0
296.0,0.3251987824819568,-0.24914193200484186
297.0,0.0,0.0
298.0,0.0,0.0
299.0,0.0,0.0
300.0,0.12373230171912822,-0.1397271460850671
301.0,0.12373230171912819,-0.13972714608506706
302.0,0.09729411064495583,-0.1334366168268914
303.0,0.08508840825677462,0.34324384883003267
304.0,0.0,0.0
305.0,0.11521558717686184,-0.06667135009494127
306.0,-0.01932194150323755,0.13556376488633076
307.0,-0.004054533218496269,0.18363743100056396
308.0,-0.01589264585902768,0.1463618525991946
309.0,0.0,0.0
310.0,0.0,0.0
311.0,0.32519878248195694,-0.2491419320048419
312.0,0.0,0.0
313.0,0.12373230171912822,-0.1397271460850671
314.0,0.0,0.0
315.0,0.0,0.0
316.0,0.0,0.0
317.0,0.12373230171912822,-0.1397271460850671
318.0,-0.045215313911159384,0.003178654247575499
319.0,-0.006080786744595094,0.10531150490120894
320.0,0.06774715743325571,0.25467251951826164
321.0,0.0,0.0
322.0,0.0,0.0
323.0,0.0,0.0
324.0,0.0023192203641079004,0.20370696054414383
325.0,0.11540353711635287,-0.2373540207939389
326.0,0.3251987824819569,-0.24914193200484194
327.0,0.3251987824819569,-0.24914193200484192
328.0,0.16138564674981257,-0.012849541332709453
329.0,0.100034360768813,-0.08436855629453746
330.0,0.22405966710165295,0.07133840763806981
331.0,0.1628351621387465,0.16953885801675325
332.0,-0.20409709474543247,-0.07936374264980464
333.0,-0.2058766426538493,-0.052140711804707696
334.0,-0.1656636627107819,-0.08703285979806101
335.0,-0.014466175298292527,0.004642567856674117
336.0,-0.011631050338620665,0.046864649293533255
337.0,-0.08473811003156503,-0.05980370558813063
338.0,-0.025453211363685703,0.05098587151908931
339.0,0.11668655256364435,-0.004081275683371358
340.0,0.1390622868614659,-0.0589294258630255
341.0,0.0,0.0
342.0,0.1390622868614659,-0.0589294258630255
343.0,0.32519878248195694,-0.2491419320048419
344.0,-0.0878951679972377,-0.09823745919388169
345.0,0.0,0.0
346.0,-0.06396501744192433,-0.10487208743076092
347.0,0.0,0.0
348.0,0.0,0.0
349.0,0.1119147199468082,0.0076156004287963
350.0,0.10276380370319031,0.215409963595412
351.0,0.0,0.0
352.0,0.0,0.0
353.0,0.0,0.0
354.0,0.0,0.0
355.0,0.0,0.0
356.0,0.0,0.0
357.0,0.0,0.0
358.0,0.0,0.0
359.0,0.0023192203641079004,0.20370696054414386
360.0,0.009566667331042186,0.19912916355283472
361.0,0.1177122417417397,0.2311022837642035
362.0,0.11771224174173972,0.23110228376420355
363.0,0.09681937126276569,0.14180114003816224
364.0,0.0,0.0
365.0,0.0,0.0
366.0,0.0,0.0
367.0,0.0,0.0
368.0,0.0,0.0
369.0,0.2847571505244816,0.0687213866020321
370.0,0.0,0.0
371.0,-0.0735308479424021,-0.027117376693005193
372.0,0.057124418920427446,0.03223894824369672
373.0,-0.08861020637433399,-0.034225065947771395
374.0,0.3251987824819569,-0.24914193200484192
375.0,0.0,0.0
376.0,0.0,0.0
377.0,0.0,0.0
378.0,0.0,0.0
379.0,0.0,0.0
380.0,0.0,0.0
381.0,0.23077319907266589,0.1643841693809395
382.0,0.23185349098629623,0.16374668106346554
383.0,0.21350784445095766,0.10202600842133201
384.0,0.23986768363135233,0.15901744619578853
385.0,0.0,0.0
386.0,0.2542893762225615,0.12253527774023618
387.0,0.2092869187151113,-0.23204871556836526
388.0,-0.08861020637433398,-0.034225065947771395
389.0,-0.059476976085255595,-0.020493052824200934
390.0,0.0,0.0
391.0,0.0,0.0
392.0,0.015376561797538548,-0.16816313302520614
393.0,-0.006442761701790557,-0.15329631710931016
394.0,0.12728604538266572,0.02213602162338209
395.0,0.0,0.0
396.0,0.1025257692134235,0.17280895384854622
397.0,0.0,0.0
398.0,0.0023192203641079004,0.20370696054414386
399.0,0.0023192203641079,0.20370696054414375
400.0,0.0023192203641079,0.2037069605441438
401.0,0.0023192203641078995,0.2037069605441437
402.0,0.0023192203641079,0.2037069605441438
403.0,0.0,0.0
404.0,0.0,0.0
405.0,0.003035509299529923,0.1688587384259616
406.0,0.002319220364107899,0.20370696054414375
407.0,0.0021416613078080113,0.19360837670437422
408.0,0.0,0.0
409.0,0.2398676836313523,0.1590174461957885
410.0,0.2398676836313523,0.1590174461957885
411.0,0.2398676836313523,0.15901744619578848
412.0,0.23986768363135227,0.1590174461957885
413.0,0.1467950897523925,-0.04221067611025157
414.0,0.0,0.0
415.0,0.2847571505244816,0.06872138660203209
