,ID,Area,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD]
0,1503,4957,2,"[2205.776881178132, 2808.3040145249142, 108.49162800080694]",-0.4525278318871183,-0.1399997670883367
1,1510,36440,14,"[2210.6482711306257, 2853.672338090011, 81.25279912184413]",0.08690439424043923,0.10468272138062992
2,1557,26721,10,"[2253.8255304816435, 2916.3801504434714, 133.05295460499232]",0.13254218609552768,0.008506493313874602
3,1570,16572,7,"[2255.9986724595706, 2916.4027274921555, 111.22743181269611]",0.15835267125388205,0.05522962663735363
4,1651,7554,3,"[2457.5483187715117, 2809.8759597564203, 120.70585120465978]",-0.41559460903251977,0.24936074750030304
