ID,Area,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD]
80,64210,24,"[48.268557281225334, 2911.9066276209714, 144.76879778899084]",0.3508531194624379,-0.0391555113136094
88,3060,2,"[3.9836601307189543, 2760.219607843137, 108.24575163398693]",0.6256218141635046,0.4206963655413576
89,8481,4,"[5.927602877019219, 3470.901662539795, 265.7451951420823]",0.3285515430376721,-0.129793382490192
90,2773,2,"[5.717634331049405, 2709.11828344753, 62.78507032095204]",0.5248317660056383,-0.0993532223817899
91,25534,10,"[22.75285762851342, 1397.4336573314731, 124.78045720049876]",-0.06815085949892846,0.341339632056926
93,25937,11,"[27.05958050406602, 1394.837794013397, 180.8832726585984]",0.08532533435864084,0.1593270085605782
95,13794,6,"[12.335073220240684, 2744.944686095404, 87.10961287516312]",0.3060582695267897,0.1448630398695441
97,39648,15,"[35.12151937046005, 2877.1167524213074, 124.2759786117837]",0.2657282983640817,-0.0415251608363063
98,71999,28,"[33.18159613387224, 2804.1672118171846, 204.29534609482454]",0.026136853034947477,-0.0115156070494725
99,4080,2,"[11.786029411764705, 873.5629901960784, 179.625]",-0.1028427839061013,0.0846930893012667
100,67557,26,"[39.059420076812366, 2807.38928564053, 42.44210556610054]",0.012761385500142901,0.012137409537934999
101,20806,8,"[27.899452081130445, 3146.9754397769875, 164.21046813419207]",0.275206461754057,-0.0103000942671358
103,130571,48,"[114.79991414319574, 303.0834435560986, 217.3284963468048]",0.0369431594431554,0.050459989595402696
104,8620,4,"[42.903712296983755, 3177.661136890951, 3.4955916473317865]",0.1550200442356478,0.0924043786420255
105,4878,2,"[16.932144321443214, 3467.308118081181, 276.70541205412053]",0.358877724510962,0.0423068661522603
106,31562,12,"[38.46036110977524, 2806.8047846939407, 264.5930158367254]",0.2209552445191585,-0.0429748666259272
107,93030,35,"[68.04321973766243, 313.9658408987167, 74.6756195236735]",0.3412391454004484,0.1164044618905143
111,91200,34,"[110.3725, 628.6280372807017, 258.0080592105263]",0.0171897735557575,0.1288808944731866
112,10645,5,"[49.80181757050012, 1396.1271720259197, 87.64904914726743]",-0.17030250052033455,-0.17923973916894245
114,248419,91,"[166.13850550529492, 1631.195649238109, 138.8347227448668]",0.07261078852217681,0.11446228920083665
116,38734,15,"[117.88235142252285, 3374.1765374089946, 13.918159756286467]",0.1453020357096374,0.1661434024556562
117,94412,35,"[78.09724399440749, 2934.3721772656017, 253.6673092403508]",0.2709460390380627,-0.1078838263639251
119,46758,18,"[80.53988622267848, 966.9927926771888, 100.78358783523674]",0.0526543628050111,-0.0692723296538141
121,104222,38,"[118.57774193801214, 1654.925034786129, 74.54068162557319]",0.20957449987729498,0.004252818112197243
122,24233,10,"[80.58531416259072, 1480.8098614190042, 70.475332168046]",0.20412052482175447,-0.0575292337568084
123,21755,9,"[67.73622742852368, 1478.261813323228, 137.36140748458973]",0.17062600311071816,0.04357335588830025
126,3373,2,"[67.5727838719241, 675.8668840794545, 2.238067002668248]",0.2501198121662896,0.1092804896885969
127,103192,39,"[122.77410265144044, 225.32792921673743, 135.85848207962806]",0.24825521746525075,0.0308054511136952
129,72468,28,"[131.4298358173581, 2117.084718138864, 273.43564217407874]",0.2677486588923763,0.03778002724157155
131,127330,47,"[138.698521221672, 866.5335666312267, 216.91432263579512]",0.0797953867956605,0.0287093640378028
132,26494,10,"[93.25598248660074, 58.72004982260135, 45.643843889182456]",0.2818784946237568,0.1004776680246549
136,43929,17,"[120.45384597873841, 2449.2506999931707, 8.262036467936898]",0.3836559688519328,0.0770658402371849
138,62416,23,"[99.29410728018456, 777.5833920789541, 10.78593629838503]",0.3734571257206284,-0.0827737605313502
139,8929,4,"[82.11412252211893, 1433.0079516183223, 47.006943666704]",-0.0078434329561586,-0.1378823786450477
141,78521,29,"[121.09691674838578, 78.75854866850906, 166.62401141096012]",0.2081966001622419,0.0603477548815358
143,62848,24,"[110.06100329267622, 992.3474764365228, 65.5351685070128]",0.1858517991339754,-0.0851031557333153
144,16797,7,"[99.9008751562779, 1552.9679704709174, 123.89920819193904]",0.2547745150798763,-0.0218568582745653
148,81062,30,"[163.64060842318224, 1179.1520071056723, 124.28975352199551]",0.1871772704768701,0.0340479046148781
149,8292,4,"[100.18921852387844, 328.82332368548, 42.28762662807525]",0.3849064651262296,0.2103368559040283
150,81584,30,"[138.85423612473033, 3140.551738085899, 242.75790596195333]",0.2613595296102021,0.0480497319493248
157,114798,42,"[131.21955086325545, 2479.3623582292375, 173.72341852645516]",0.4004236282638851,0.1329479164793002
