,ID,Area,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD]
0,1494,94977,35,"[2217.71678406351, 2697.909588637249, 249.73883150657528]",0.22428277200026003,0.1059727879097337
1,1498,8686,4,"[2116.7384296569194, 2495.115703430808, 253.58507943817636]",0.24537754507099147,-0.018734538645410075
2,1499,76716,28,"[2138.7663068981697, 2209.1721674748424, 234.52199019761196]",0.1732342263604521,-0.13933535805908462
3,1504,29594,11,"[2165.677637358924, 2543.226059336352, 272.8996756099209]",0.3144068495795716,0.07149064685596611
4,1512,6010,3,"[2159.6697171381034, 2564.820632279534, 211.8088186356073]",0.23154845605205068,0.013746980486863162
5,1516,6776,3,"[2220.2272727272725, 2668.744982290437, 212.17680047225502]",0.1849132996702627,-1e-10
6,1564,10611,4,"[2239.300065969277, 2247.644519837904, 265.5008010555084]",0.2061094232750966,-0.12219108889553008
7,1567,5927,3,"[2336.71790113042, 2789.3065631854224, 216.95832630335752]",-0.1989770321586195,0.2805812905568897
8,1588,20340,8,"[2330.553343166175, 2130.791691248771, 218.36819075712881]",0.07152044614275507,0.06094562611880608
9,1594,14701,6,"[2311.836541731855, 2446.2514114686073, 235.82803890891776]",0.22908829189629892,0.17469639698476444
10,1598,11184,5,"[2306.910765379113, 2379.8572961373393, 248.048104434907]",0.203215207261528,0.0421010596137465
11,1618,32803,12,"[2367.273755449197, 2415.220315215072, 270.5667469438771]",0.27803681637391,0.07411607706527062
12,1625,22438,9,"[2351.2380336928427, 2543.1217577324182, 229.02932525180498]",0.23722700855809103,0.025449907939866033
13,1663,15050,6,"[2409.577607973422, 2531.3729568106314, 265.80511627906975]",0.27151967030865437,0.14972333567864016
14,1665,11684,5,"[2566.6460116398493, 2710.504279356385, 214.29621704895584]",0.12325267332331895,0.11870943073643588
15,1666,78200,29,"[2468.943746803069, 2665.1671739130434, 250.22900255754476]",0.18679924534241796,0.2669295410818162
16,1685,9400,4,"[2434.8194680851066, 2143.0368085106384, 264.8532978723404]",-0.15534295972426307,-0.31928384653820513
17,1706,30933,12,"[2500.633465877865, 2386.821840752594, 217.53066304593798]",0.3074569220617979,-0.026493935077817634
18,1711,100846,37,"[2594.207425182952, 2382.006445471313, 257.758671637943]",0.2329632398593095,0.14439209446052279
19,1766,14817,6,"[2583.7414456367687, 2458.819396638996, 244.8306674765472]",0.3443590851093934,0.16501764181449913
20,1772,53537,20,"[2638.74303752545, 2577.732708220483, 231.23191437697292]",0.11207404326390323,0.2141404207305032
21,1815,12482,5,"[2691.2202371414837, 2271.426373978529, 213.82366607915398]",0.2684395709373329,1e-10
22,1828,49154,18,"[2734.4657403263213, 2227.175367213248, 240.10991984375636]",0.25869594446448774,0.09933421912054101
23,1877,14596,6,"[2771.4879419018907, 2388.814538229652, 228.73568100849548]",0.24309784702532222,0.06962666968879644
24,1894,3172,2,"[2785.168663303909, 2448.5813366960906, 216.6812736443884]",0.3222608814268131,0.03697835776570099
