,ID,Area,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD]
0,978,11139,5,"[1411.1092557680222, 3422.8296076847114, 58.970823233683454]",0.29153753837978286,-0.24619976982963293
1,997,38013,14,"[1429.011995896141, 2977.9082945308182, 50.81658906163681]",0.1923850882927702,-0.08844716688866114
2,1071,127374,47,"[1481.4668770706737, 3198.1004522115973, 27.607290341828]",0.17195656803785667,0.19561763046770003
3,1096,26031,10,"[1537.7066958626253, 2827.931389497138, 11.97864085129269]",0.0558134728054034,0.22493878198018435
4,1147,15689,6,"[1584.6177576646057, 2818.0099432723564, 45.85480272802601]",-0.1820316983132966,0.3457827624933895
5,1152,97656,36,"[1639.4490149094781, 3026.7421458998933, 15.049234046039158]",0.16401034516227475,0.06230090653051354
6,1215,45390,17,"[1688.3217228464418, 2994.1069398545933, 60.51982815598149]",0.12629130845039976,-0.05580416578114669
7,1246,57590,21,"[1735.0896683451988, 3447.3423163743705, 17.351397812120158]",0.17716499190609905,0.22028500000298384
8,1310,56594,21,"[1849.820457999081, 2914.6668551436546, 8.366770329010143]",0.13907839906906416,0.05370820991349941
9,1336,73051,27,"[1877.3856346935702, 2865.3112346169114, 46.00804917112702]",0.21221739288634967,0.06199672070406857
10,1354,37032,14,"[1891.4382155973212, 3247.626458198315, 12.598455389933031]",0.16822840523436522,0.041079384166041066
11,1399,136473,50,"[1993.3382354018745, 3405.194939658394, 35.623485964256666]",0.2436767555888361,0.1538477262617363
12,1400,20632,8,"[1977.9691740984877, 3001.96597518418, 64.26240791004265]",0.13213870895583196,-0.009438155088053221
13,1447,13661,5,"[2082.223482907547, 2821.452016689847, 7.627040480199107]",0.16109168957036654,0.03121993044473665
14,1459,23545,9,"[2077.1676789127205, 3108.6274368231047, 8.702612019537057]",0.2584178540425946,0.21957539198554707
