,sig_xx,sig_yy,sig_zz,sig_xy,sig_xz,sig_yz,eps_xx,eps_yy,eps_zz,eps_xy,eps_xz,eps_yz,Azimuth,Elevation
0,5.939907333667749e-14,-5.75185426060689e-16,-4.944317821188436e-15,-9.372293986497831e-17,2.3522975621009156e-14,-1.6854413998205063e-15,5.773159728050814e-15,0.0,0.0,-9.504303842664716e-15,-3.4062697480377378e-15,3.4315449377114014e-29,0.0,0.0
1,7.240337770662827e-14,-5.832622408665262e-15,-6.469441582384493e-17,-6.79769061640588e-14,-2.9616722949667166e-15,-8.693891179814926e-17,1.1102230246251565e-15,0.0,0.0,-2.1756757388125705e-15,-3.397345002546171e-15,-8.344008559209563e-30,0.03670137160296,0.0669478591543657
2,9.528223484219369e-15,4.596645894972416e-15,3.9761808459101314e-15,8.5897978717091e-15,6.424268174627929e-15,-1.2979557895701578e-14,-3.552713678800501e-15,-4.551914400963142e-15,1.7985612998927536e-14,-1.7624312512710401e-16,3.690955190773529e-15,2.678968530566003e-15,-0.0169678797753716,0.1350476966392587
3,1.0954597794244033e-13,-4.083419501523041e-17,-3.912939191883118e-17,1.9074242629441545e-15,1.658356168050465e-14,2.3261229625479474e-17,-4.984901380566953e-14,0.0,0.0,1.835616860684604e-14,8.275489463996327e-15,0.0,0.03670137160296,0.0669478591543657
4,-6.984493011647703e-15,1.241544854222476e-14,3.922585668627059e-14,-6.849731822493832e-15,3.364581330728478e-15,-2.4389669827697093e-14,-1.8096635301390052e-14,-5.995204332975845e-15,1.8207657603852567e-14,9.683022460489876e-15,-1.0981836046668073e-14,8.755136232024227e-16,-0.0169678797753716,0.1350476966392587
5,-1.2826584102220609e-14,2.4899914328336083e-16,-1.0734850489476787e-17,3.4603679509860618e-15,3.119555830867694e-15,1.21763353927311e-16,5.10702591327572e-15,0.0,0.0,1.4324755719146368e-15,-8.541429601317881e-15,0.0,-0.0169678797753716,0.1350476966392587
6,7.94791765884007e-15,-7.544459804878157e-15,2.396930031837814e-14,-9.198421568318995e-16,-3.328966968199931e-15,6.2814071752231965e-15,4.6629367034256575e-15,-3.552713678800501e-15,-1.3988810110276972e-14,-9.952588931660784e-16,3.648547554171543e-15,7.6889589757814e-15,0.0,0.0
7,-4.1739950895842444e-14,-1.5706382814259013e-15,-4.201482407937538e-17,-2.619952720623788e-14,-1.360356810400673e-15,-1.456791271627111e-16,6.8833827526759706e-15,0.0,0.0,1.1828195813522417e-15,-6.139473797973956e-15,0.0,0.0,0.0
8,3.1180931927159988e-15,-4.218549804932868e-15,1.27923730397698e-14,6.368263924750372e-15,-2.950871630373612e-15,-1.2043237890935472e-14,6.661338147750939e-16,-5.551115123125783e-15,-5.440092820663267e-15,-5.247691757316578e-15,5.520855436129789e-15,4.406481336217448e-15,-0.0169678797753716,0.1350476966392587
9,2.067892076743886e-14,2.6868120374944286e-16,-7.909899525051489e-16,-1.3136926197250358e-14,-3.295146730801674e-14,3.356643907702609e-16,6.661338147750939e-15,0.0,0.0,-1.0443066132553763e-14,-1.6671215169335055e-15,-8.664316325344423e-29,0.03670137160296,0.0669478591543657
