,ID,Area,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD]
0,1050,29046,11,"[1449.0506782345246, 2496.90267162432, 59.48130551538938]",0.05896393746569963,-0.09661433490640449
1,1063,49025,18,"[1460.088852626211, 2555.9469862315145, 41.91247322794493]",0.1613626955223648,0.20993322539516227
2,1070,11701,5,"[1425.3379198359114, 2592.5349970088027, 5.948893256986582]",0.1755221288666526,0.08476249500065315
3,1096,92671,34,"[1498.1107250380378, 2722.332293813599, 26.761273753385634]",0.18121487740791495,0.17701838218482457
4,1147,34437,13,"[1578.1517844179225, 2762.9332694485583, 58.4649069314981]",0.07013443930134133,0.28896517996544124
5,1168,28238,11,"[1636.6595367943905, 2340.4154685176004, 59.21085062681493]",0.10547604653698318,-0.07461230560792505
6,1192,54113,20,"[1661.5099883576959, 2445.588971226877, 32.73085949771774]",0.22134585510517896,0.23751692126652574
7,1211,128379,47,"[1738.8422561322334, 2625.9451312130486, 34.431355595541326]",0.2357782359660458,0.2754208562245659
8,1236,21738,8,"[1728.9401508878461, 2498.068773576226, 64.97575673935044]",0.15725204925695055,-0.022182464775419544
9,1259,20291,8,"[1741.6311665270316, 2729.7739884677935, 9.865556157902517]",0.17523520534149015,-0.10827953891877877
10,1280,9468,4,"[1760.3189691592734, 2711.952154626109, 24.94423320659062]",0.3146513424100037,0.06568557522919372
11,1281,21831,8,"[1816.1550089322523, 2176.0292703036966, 62.35715267280473]",0.061878800000366455,-0.16401383825250657
12,1329,38183,14,"[1842.9696199879527, 2300.5710656574915, 34.76342875101485]",0.1177423560305731,0.18478532790551033
13,1335,8785,4,"[1883.87296528173, 2522.664655663062, 2.374388161639158]",0.08723001011924136,1e-10
14,1336,15419,6,"[1848.958817043907, 2780.819313833582, 58.48180815876516]",0.06701973006367355,0.4055319640513516
15,1338,13074,5,"[1877.519657335169, 2306.703610218755, 64.77956249043903]",0.18606528702660216,-1e-10
16,1340,116408,43,"[1925.6287110851488, 2483.1835612672667, 38.350104803793556]",0.12343581641058231,0.278555969881199
17,1366,8917,4,"[1900.1784232365144, 2364.9460580912864, 59.632948300998095]",0.17413065088504293,0.1317773415530656
18,1381,32879,12,"[1943.7662033516835, 2593.0952279570547, 16.073664040877155]",0.15719856572943008,0.07513905560720842
19,1394,33316,13,"[2000.6160403409772, 2124.8162744627207, 49.05510865650138]",0.0626340825454362,0.2812653844876467
20,1418,13435,5,"[1999.8131001116485, 2719.6660215854113, 4.295943431336062]",0.07608779486980953,0.06715522448001371
21,1424,62029,23,"[2027.4172886875494, 2257.137290622128, 28.04888036241113]",-0.03133376363819881,0.34451370929044406
22,1444,76649,28,"[2058.5111873605656, 2696.7056191209276, 46.72371459510235]",0.13047995670556564,-0.15564917672025189
23,1447,9257,4,"[2050.0409419898456, 2782.276007345792, 7.666522631522091]",-0.08123719072958877,0.15731766953410878
24,1462,13598,5,"[2069.8366671569347, 2384.8543168112956, 5.735255184585968]",0.01288425534038895,-0.03226372358464948
25,1473,8150,3,"[2077.6833128834355, 2204.2444171779143, 64.11447852760736]",0.09627607192455459,0.06417924693595757
26,1475,14389,6,"[2083.734658419626, 2339.2086315935785, 31.971158523872404]",0.07454004967675741,1e-10
27,1488,2870,2,"[2092.8850174216027, 2403.0031358885017, 15.731707317073171]",0.4984357135471654,-0.21051989813849667
