Node,Azi_[RAD],Ele_[RAD]
"[294.4026946677236, 176.91569180120777, 94.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[-5.538913105793682, 106.68004722740594, 42.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[44.34419810546318, 110.09682274712539, 42.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[94.22730931672004, 113.51359826684484, 43.0]",-0.0683913329166616,-0.0085873193136454
"[144.11042052797688, 116.93037378656429, 43.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[193.99353173923376, 120.34714930628374, 43.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[21.331144579295113, 211.33185084301536, 61.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[71.21425579055197, 214.74862636273483, 61.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[121.09736700180883, 218.16540188245426, 62.0]",-0.0683913329166616,-0.0085873193136454
"[170.98047821306568, 221.5821774021737, 62.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[220.86358942432256, 224.99895292189316, 62.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[40.42302767133194, 179.51204568962035, 69.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[90.3061388825888, 182.92882120933982, 69.9706583363474]",-0.0683913329166616,-0.0085873193136454
"[140.18925009384566, 186.34559672905925, 70.0]",-0.0683913329166616,-0.0085873193136454
"[190.0723613051025, 189.7623722487787, 70.0293416636526]",-0.0683913329166616,-0.0085873193136454
"[239.95547251635938, 193.17914776849815, 70.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[14.96718354861602, 185.16889993911278, 57.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[64.85029475987288, 188.58567545883224, 57.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[114.73340597112974, 192.00245097855168, 58.0]",-0.0683913329166616,-0.0085873193136454
"[164.6165171823866, 195.41922649827112, 58.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[214.49962839364346, 198.83600201799058, 58.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[0.1179411436982889, 7.685097861289395, 47.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[50.00105235495515, 11.101873381008845, 47.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[99.88416356621201, 14.518648900728294, 48.0]",-0.0683913329166616,-0.0085873193136454
"[149.76727477746886, 17.935424420447745, 48.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[199.65038598872573, 21.352199940167193, 48.05868332730519]",-0.0683913329166616,-0.0085873193136454
