,ID,Area,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD]
0,30,11835,5,"[20.92479932403887, 1344.7433882551754, 145.02729193071397]",0.18550340263523538,-0.13334417579311694
1,74,170248,63,"[92.84728161270617, 991.1104330153657, 171.71963253606503]",0.22778318130744254,0.09509331890156343
2,93,16912,7,"[15.96736045411542, 1378.161128192999, 180.25407994323558]",0.2218696582161531,0.06841098594369194
3,99,4080,2,"[11.786029411764705, 873.5629901960784, 179.625]",-0.10284278390610138,0.08469308930126676
4,131,15952,6,"[118.19652708124373, 836.8525576730191, 205.94107321965896]",0.13729212181682043,1e-10
5,224,30499,12,"[191.88445522804025, 1241.8427161546279, 179.89717695662154]",0.23453493294964411,0.011161855638300052
6,267,10281,4,"[319.6638459293843, 738.1595175566579, 204.45802937457444]",0.02266744446623048,1e-10
7,273,40230,15,"[282.0520755654984, 1354.4880437484464, 159.84794929157346]",-0.06810413585888943,0.15700805073630947
8,277,3368,2,"[264.54097387173397, 1334.9043942992876, 142.13390736342043]",0.19406167131824037,-0.01912570776495509
9,328,33831,13,"[327.02905619106735, 1351.218290916615, 197.4283349590612]",0.2889093879658957,0.08303187460789713
10,343,18562,7,"[362.02774485508024, 1102.2556297812735, 182.15434759185433]",0.17619029739306508,1e-10
11,394,10197,4,"[455.81327841522017, 943.393350985584, 207.04393449053643]",0.2437105812629422,-1e-10
12,403,4678,2,"[436.40166737922186, 963.1509191962377, 198.15925609234716]",-0.08660998189644065,1e-10
13,416,3165,2,"[436.9769352290679, 1072.4660347551344, 198.80568720379148]",0.3604263575203873,0.02710111123594363
14,424,37036,14,"[510.4625499513986, 1313.6906523382654, 151.17021276595744]",0.28289504806865995,0.13083245440802202
15,425,24176,9,"[498.1393530774322, 946.1491975512905, 152.35961283917936]",0.10991412335969221,0.06746573704443022
16,432,84221,31,"[519.9083007800905, 1244.4542691252775, 188.75477612471948]",0.26207566740001387,0.03299840201718931
17,445,3546,2,"[507.168358714044, 1057.8564579808235, 207.64918217710095]",0.5681104337836312,0.026403748210056904
18,462,16108,6,"[566.4746088899925, 713.1127390116712, 177.96566923267943]",-0.3190993112779987,0.6056770036065858
19,487,2976,2,"[577.424059139785, 709.1031586021505, 196.89381720430106]",-0.2623293445800863,0.06284712586339265
20,499,14770,6,"[634.111374407583, 796.1109004739336, 205.6308733920108]",0.15762247489903086,0.018322813467635223
21,504,5936,3,"[631.1652628032346, 753.5673854447439, 142.9081873315364]",-0.06537496361434417,-0.051273143275577054
22,508,5352,2,"[609.1698430493274, 805.6106128550075, 196.5394245142003]",0.046645331073128994,-1e-10
23,518,26309,10,"[656.9875707932647, 1062.868562089019, 172.96533505644456]",0.2789574765707584,0.12827529789160122
24,523,4178,2,"[624.0516993776927, 957.4925801819052, 197.4684059358545]",0.1702540523090628,0.04792423914627197
25,532,29424,11,"[670.8353724850463, 800.3533170201197, 163.37180532898316]",0.05441700079704992,0.062354458455862495
26,553,16287,6,"[679.4577884202124, 1047.3507091545405, 199.0308221280776]",0.2243401843300283,0.04857277155254687
27,566,5071,2,"[687.5318477617827, 902.0916978899626, 206.92427529086964]",0.35601856182807706,0.038170957830276846
