,ID,Area,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD]
0,529,63535,24,"[734.205256944991, 2064.212874793421, 96.55282914928779]",0.1248611166888616,-0.3106700550943793
1,588,4581,2,"[775.7408862693735, 1900.442043222004, 138.18292949137742]",-0.02895236694693948,-1e-10
2,604,157916,58,"[833.9241685453026, 1864.9473200942273, 97.16823501101851]",0.1049792198585013,-0.04252111849442024
3,659,21404,8,"[958.0744253410578, 2035.228648850682, 79.44631844515044]",0.12054304670990669,-0.1165019490955265
4,685,11803,5,"[867.6683046683047, 2068.062611200542, 133.8474116749979]",0.06745335836646991,1e-10
5,702,22005,9,"[928.5284253578732, 1725.3451033855943, 135.39863667348328]",0.07552142705582443,-0.0065397260620975745
6,730,179827,66,"[995.4072191606377, 1727.3865715382005, 97.33857540858715]",0.2014535456017189,-0.003833763085633779
7,803,10564,4,"[1045.5689132904204, 1939.213366149186, 136.78767512305944]",0.13908020636887772,0.006321374209294635
8,836,59664,22,"[1097.6495541700187, 2025.8104216948243, 95.0192913649772]",0.17249885870374426,-0.24967719025628107
9,842,10865,4,"[1092.3360331339163, 1557.8121491026232, 136.91919005982513]",0.21601960625033698,-1e-10
10,859,171381,63,"[1178.3039018327586, 1611.838138416744, 101.82187640403545]",0.2366506864340131,0.007701288383757444
11,878,10511,4,"[1138.4228903053943, 1899.4101417562554, 75.17809913424031]",0.38441193089203335,-0.03378644880176099
12,884,6924,3,"[1181.369150779896, 1591.441652224148, 71.66363373772386]",0.20287558348984067,0.01276447185289368
13,949,94342,35,"[1286.5275275063068, 1927.7243433465478, 101.63091730088402]",0.26281602582538743,-0.2236768581417612
14,959,19704,8,"[1292.2099066179458, 1448.8359216402762, 134.04242793341453]",0.18856847929066414,0.05092774852055887
15,969,9244,4,"[1264.3229121592385, 1733.4837732583296, 73.7798572046733]",0.24819249384135214,0.03371637198424289
16,977,112925,42,"[1352.6280894398938, 1494.681204339163, 102.78909010405135]",0.22422872722306905,0.21148683009835173
17,1002,7950,3,"[1355.5090566037736, 1822.017358490566, 74.1245283018868]",0.16198180140195592,-0.12482927488161344
