,ID,Area,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD]
0,33,55973,21,"[33.496721633644796, 1881.8304718346346, 124.31450878101941]",0.12990226179516592,-0.17360427151480845
1,35,5727,3,"[7.243408416273791, 1896.9989523310633, 80.65636458878994]",0.34749530277515417,-0.21525911612622306
2,91,10219,4,"[31.849691750660533, 1411.9685879244544, 124.26636657207163]",-0.2866271124437447,0.4493607381029683
3,112,3274,2,"[57.64324984728161, 1407.782223579719, 87.34056200366524]",-0.39702797370954385,-0.24605207240109564
4,114,106539,39,"[174.1938632801134, 1692.9316212842245, 113.55275532903444]",0.08016842556490825,0.19499842668394424
5,121,68556,25,"[108.03601435322948, 1622.278516832954, 88.43256607736741]",0.19599489168795683,-0.13801001697412826
6,122,15055,6,"[70.37535702424444, 1464.5394221188974, 75.18067087346397]",0.22063878325485634,-0.07269299018617331
7,123,15081,6,"[62.19196339765268, 1478.7707048604204, 131.88913202042306]",0.17762558911998258,0.14883672001691628
8,144,16797,7,"[99.9008751562779, 1552.9679704709174, 123.89920819193904]",0.25477451507987636,-0.021856858274565356
9,273,125870,46,"[355.92112497020736, 1540.8436243743545, 107.38109954715182]",0.1220593709281346,0.1221452132917533
10,280,24863,10,"[275.32345251980854, 1444.1189719663757, 85.41652254353859]",0.17282436413365135,-0.195074483401322
11,315,6665,3,"[286.71822955738935, 1442.039759939985, 107.49992498124531]",0.13453492411243012,0.11447234686840842
12,319,3002,2,"[288.0566289140573, 1469.5216522318453, 98.83910726182545]",0.0933513443083354,-0.0795809206500534
13,415,92281,34,"[573.4619477465567, 1441.2524029865303, 105.20219763548292]",0.11130525980604987,0.3699276669575778
14,529,63840,24,"[664.8313753132832, 1979.1091322055138, 99.44113408521304]",0.05380790224241456,-0.2564249097144105
