Node,Azi_[RAD],Ele_[RAD]
"[-8.286040470452562, 159.90440466686383, 21.516068926995693]",-0.0544019933818389,-0.0891164612938598
"[41.63998835376464, 162.6123741132531, 21.758034463497847]",-0.0544019933818389,-0.0891164612938598
"[91.56601717798185, 165.32034355964242, 22.0]",-0.0544019933818389,-0.0891164612938598
"[141.49204600219906, 168.02831300603174, 22.241965536502153]",-0.0544019933818389,-0.0891164612938598
"[191.41807482641627, 170.73628245242102, 22.483931073004307]",-0.0544019933818389,-0.0891164612938598
"[-20.306855750623626, 224.25112175484006, 33.51606892699569]",-0.0544019933818389,-0.0891164612938598
"[29.61917307359358, 226.95909120122934, 33.75803446349784]",-0.0544019933818389,-0.0891164612938598
"[79.54520189781078, 229.66706064761865, 34.0]",-0.0544019933818389,-0.0891164612938598
"[129.471230722028, 232.37503009400797, 34.24196553650216]",-0.0544019933818389,-0.0891164612938598
"[179.3972595462452, 235.08299954039725, 34.48393107300431]",-0.0544019933818389,-0.0891164612938598
"[-18.18553540706408, 253.2424997834884, 33.51606892699569]",-0.0544019933818389,-0.0891164612938598
"[31.740493417153125, 255.95046922987768, 33.75803446349784]",-0.0544019933818389,-0.0891164612938598
"[81.66652224137033, 258.658438676267, 34.0]",-0.0544019933818389,-0.0891164612938598
"[131.59255106558754, 261.3664081226563, 34.24196553650216]",-0.0544019933818389,-0.0891164612938598
"[181.51857988980476, 264.0743775690456, 34.48393107300431]",-0.0544019933818389,-0.0891164612938598
"[1.6134544661594106, 179.70339454008732, 19.516068926995693]",-0.0544019933818389,-0.0891164612938598
"[51.539483290376616, 182.4113639864766, 19.758034463497847]",-0.0544019933818389,-0.0891164612938598
"[101.46551211459382, 185.11933343286591, 20.0]",-0.0544019933818389,-0.0891164612938598
"[151.39154093881103, 187.82730287925523, 20.241965536502153]",-0.0544019933818389,-0.0891164612938598
"[201.31756976302825, 190.5352723256445, 20.483931073004307]",-0.0544019933818389,-0.0891164612938598
"[-10.407360814012108, 207.28055900636278, 53.51606892699569]",-0.0544019933818389,-0.0891164612938598
"[39.5186680102051, 209.98852845275206, 53.75803446349784]",-0.0544019933818389,-0.0891164612938598
"[89.4446968344223, 212.69649789914138, 54.0]",-0.0544019933818389,-0.0891164612938598
"[139.37072565863951, 215.4044673455307, 54.24196553650216]",-0.0544019933818389,-0.0891164612938598
"[189.29675448285673, 218.11243679191998, 54.48393107300431]",-0.0544019933818389,-0.0891164612938598
"[-13.942894719944988, 210.81609291229566, 23.516068926995693]",-0.0544019933818389,-0.0891164612938598
"[35.98313410427222, 213.52406235868494, 23.758034463497847]",-0.0544019933818389,-0.0891164612938598
"[85.90916292848942, 216.23203180507426, 24.0]",-0.0544019933818389,-0.0891164612938598
"[135.83519175270663, 218.94000125146357, 24.241965536502153]",-0.0544019933818389,-0.0891164612938598
"[185.76122057692385, 221.64797069785286, 24.483931073004307]",-0.0544019933818389,-0.0891164612938598
"[-16.06421506350408, 180.41050132127398, 33.51606892699569]",-0.0544019933818389,-0.0891164612938598
"[33.861813760713126, 183.11847076766327, 33.75803446349784]",-0.0544019933818389,-0.0891164612938598
"[83.78784258493033, 185.82644021405258, 34.0]",-0.0544019933818389,-0.0891164612938598
"[133.71387140914754, 188.5344096604419, 34.24196553650216]",-0.0544019933818389,-0.0891164612938598
"[183.63990023336476, 191.24237910683118, 34.48393107300431]",-0.0544019933818389,-0.0891164612938598
"[-21.721069312996505, 245.46432519043643, 26.516068926995693]",-0.0544019933818389,-0.0891164612938598
"[28.2049595112207, 248.1722946368257, 26.758034463497847]",-0.0544019933818389,-0.0891164612938598
"[78.1309883354379, 250.88026408321502, 27.0]",-0.0544019933818389,-0.0891164612938598
"[128.05701715965512, 253.58823352960434, 27.241965536502153]",-0.0544019933818389,-0.0891164612938598
"[177.98304598387233, 256.29620297599365, 27.483931073004307]",-0.0544019933818389,-0.0891164612938598
"[-18.18553540706408, 277.28413034383095, 40.51606892699569]",-0.0544019933818389,-0.0891164612938598
"[31.740493417153125, 279.99209979022027, 40.75803446349784]",-0.0544019933818389,-0.0891164612938598
"[81.66652224137033, 282.7000692366096, 41.0]",-0.0544019933818389,-0.0891164612938598
"[131.59255106558754, 285.4080386829989, 41.24196553650216]",-0.0544019933818389,-0.0891164612938598
"[181.51857988980476, 288.1160081293882, 41.48393107300431]",-0.0544019933818389,-0.0891164612938598
"[-16.771321844690746, 240.51457772213067, 21.516068926995693]",-0.0544019933818389,-0.0891164612938598
"[33.15470697952646, 243.22254716851995, 21.758034463497847]",-0.0544019933818389,-0.0891164612938598
"[83.08073580374366, 245.93051661490927, 22.0]",-0.0544019933818389,-0.0891164612938598
"[133.00676462796088, 248.63848606129858, 22.241965536502153]",-0.0544019933818389,-0.0891164612938598
"[182.9327934521781, 251.34645550768786, 22.483931073004307]",-0.0544019933818389,-0.0891164612938598
"[-29.49924390604893, 263.1419947200999, 31.516068926995693]",-0.0544019933818389,-0.0891164612938598
"[20.426784918168273, 265.8499641664892, 31.758034463497847]",-0.0544019933818389,-0.0891164612938598
"[70.35281374238548, 268.5579336128785, 32.0]",-0.0544019933818389,-0.0891164612938598
"[120.27884256660269, 271.2659030592678, 32.24196553650216]",-0.0544019933818389,-0.0891164612938598
"[170.2048713908199, 273.97387250565714, 32.48393107300431]",-0.0544019933818389,-0.0891164612938598
"[-12.528681157571654, 233.44350991026536, 5.5160689269956915]",-0.0544019933818389,-0.0891164612938598
"[37.39734766664555, 236.15147935665465, 5.758034463497846]",-0.0544019933818389,-0.0891164612938598
"[87.32337649086276, 238.85944880304396, 6.0]",-0.0544019933818389,-0.0891164612938598
"[137.24940531507997, 241.56741824943327, 6.241965536502154]",-0.0544019933818389,-0.0891164612938598
"[187.17543413929718, 244.27538769582256, 6.4839310730043085]",-0.0544019933818389,-0.0891164612938598
"[-0.5078658774001354, 128.08459951346927, 22.516068926995693]",-0.0544019933818389,-0.0891164612938598
"[49.41816294681707, 130.79256895985856, 22.758034463497847]",-0.0544019933818389,-0.0891164612938598
"[99.34419177103428, 133.50053840624787, 23.0]",-0.0544019933818389,-0.0891164612938598
"[149.2702205952515, 136.20850785263718, 23.241965536502153]",-0.0544019933818389,-0.0891164612938598
"[199.1962494194687, 138.91647729902647, 23.483931073004307]",-0.0544019933818389,-0.0891164612938598
"[-17.478428625877413, 183.2389284460202, 45.51606892699569]",-0.0544019933818389,-0.0891164612938598
"[32.44760019833979, 185.94689789240948, 45.75803446349784]",-0.0544019933818389,-0.0891164612938598
"[82.373629022557, 188.6548673387988, 46.0]",-0.0544019933818389,-0.0891164612938598
"[132.2996578467742, 191.3628367851881, 46.24196553650216]",-0.0544019933818389,-0.0891164612938598
"[182.22568667099142, 194.0708062315774, 46.48393107300431]",-0.0544019933818389,-0.0891164612938598
"[-3.3362930021463484, 142.22673513720034, 10.516068926995692]",-0.0544019933818389,-0.0891164612938598
"[46.58973582207086, 144.93470458358962, 10.758034463497847]",-0.0544019933818389,-0.0891164612938598
"[96.51576464628806, 147.64267402997893, 11.0]",-0.0544019933818389,-0.0891164612938598
"[146.44179347050527, 150.35064347636825, 11.241965536502153]",-0.0544019933818389,-0.0891164612938598
"[196.3678222947225, 153.05861292275753, 11.483931073004308]",-0.0544019933818389,-0.0891164612938598
"[3.0276680285322897, 125.96327916991017, 5.5160689269956915]",-0.0544019933818389,-0.0891164612938598
"[52.953696852749495, 128.67124861629947, 5.758034463497846]",-0.0544019933818389,-0.0891164612938598
"[102.8797256769667, 131.37921806268878, 6.0]",-0.0544019933818389,-0.0891164612938598
"[152.8057545011839, 134.0871875090781, 6.241965536502154]",-0.0544019933818389,-0.0891164612938598
"[202.73178332540112, 136.79515695546738, 6.4839310730043085]",-0.0544019933818389,-0.0891164612938598
