ID,Area,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD]
215,119948,45,"[2573.0904585787343, 386.6833141643864, 66.04290349432398]",0.094621266134624,-0.0096054015961833
218,73539,27,"[785.4987263046319, 2143.456284899462, 21.085791212825846]",0.2411120787742497,0.1211902691134896
219,135620,50,"[2630.549307386784, 381.1057848279632, 216.43341892667286]",-0.08204484870703,0.0066868412965533
220,51527,19,"[2717.1091794380413, 321.3628082767392, 261.555689250296]",-0.1951889446590586,0.2481554280402608
222,7251,3,"[1866.395893107764, 1004.1821877773946, 38.08150599917253]",-0.2784342258642485,-0.3157990945939132
223,8507,4,"[2243.6919847968047, 640.6918852159863, 196.920300928647]",0.0799195418929691,0.1776370570027098
224,30499,12,"[1793.0673937359754, 1103.7982052560922, 179.89717695662154]",0.1331633410751671,-0.0352006198474063
225,10303,5,"[826.2956178370923, 2050.966520180084, 208.4153966697504]",0.2345779163731481,-0.0327336822799397
226,60629,23,"[2404.171275453932, 574.1807581419737, 9.109139190816276]",0.2087470286709799,-0.0245219086318351
227,93709,36,"[750.3927715544339, 2200.745000491724, 141.6917332447372]",0.1251454139652127,-0.0787765571162233
228,21929,8,"[2205.5107518364744, 698.7870480180709, 114.66505540608327]",0.1345584293120888,0.1069551940331508
230,5190,2,"[2188.5939581262046, 697.5769375578224, 132.1568400770713]",0.0695873764784933,-0.0241537689810336
234,30451,12,"[804.2936094405379, 2122.265433231808, 264.0262060359266]",0.2130699292686747,-0.2527423485199578
236,93626,35,"[1397.6008097414651, 1599.9218843142517, 269.14632687501336]",0.1105028686351671,0.0054912482519133
237,11615,5,"[370.7600126225384, 2521.3199135511345, 256.68532070598366]",0.4160743007542062,0.0224361851760294
238,8104,3,"[210.4795039830533, 2681.903222093002, 247.11019249753207]",-0.0152322643427645,-0.0705565173291889
239,52187,20,"[2688.142657273752, 346.1904220531635, 119.40774522390635]",0.0211443420923225,0.1380909700606596
240,29017,11,"[249.5170354669217, 2654.2404610326457, 229.47010373229486]",0.2501512046527668,0.008777977756042
241,16466,7,"[217.71184520675024, 2686.567128976621, 269.49848171990766]",0.2283829062997235,0.123247501329451
244,10791,4,"[532.2767767091534, 2388.679708997908, 157.84867018811974]",0.0805292852574912,-0.0860571560997944
245,29979,11,"[313.6309307904867, 2606.454391404275, 258.9028653390707]",0.3824137466557292,0.3102444720621341
246,76044,28,"[2412.1322857357254, 615.7805431551208, 266.15360843722056]",-0.1143105546027925,0.0534450590067544
247,55248,21,"[799.5864820523457, 2130.24063048996, 201.46377215629644]",0.1371039869305833,-0.1319963257206937
248,3537,2,"[848.2118745544785, 2071.834384763291, 40.89878428046367]",0.4869411474524786,0.1462820771548763
249,6011,3,"[589.1311198592882, 2327.5858261104413, 145.58376310098154]",0.3536354062780626,-0.0936504486812786
256,87375,33,"[745.5340475727733, 2246.9118193165423, 253.58635068868222]",0.0712233388132996,0.4019807910857212
260,293079,109,"[2369.3715394967967, 655.3922944296007, 104.18512731155982]",-0.0683487911727515,-0.1457645259105247
261,27502,11,"[806.8072144590426, 2139.845300031276, 90.41080648680096]",0.3251987824819569,-0.2491419320048419
262,5478,2,"[1820.9075422061924, 1119.659257721689, 83.57940854326397]",0.1905772273266566,-0.0231137570623627
264,18085,7,"[810.1547620157587, 2155.43869362385, 49.512690074647494]",0.2847571505244816,0.0687213866020321
265,20904,8,"[462.86638029431697, 2583.562474371906, 6.358974358974359]",0.0567578316287403,0.0533197884877117
267,127546,49,"[2239.9975889669026, 803.138962984284, 214.56638107334774]",-0.0864534060669596,-0.0005761299122138
270,3636,2,"[2722.5192420379826, 289.2668137831879, 125.5027502750275]",-0.4871942627910162,0.2665825070907363
271,5201,2,"[878.93303196227, 2077.669956251205, 79.01038261872716]",-0.4460259873457255,-0.2058085900383214
273,288470,106,"[1723.4573216756728, 1378.4563635395332, 120.60308635119583]",-0.0080996395337263,0.0477892103665139
276,16229,6,"[2584.675313888179, 398.0045423907018, 27.172037710271734]",-0.0050172393269307,0.0678618953017046
277,31723,13,"[1773.4437427899315, 1224.7690449204983, 135.09423282119178]",0.0615199148233954,-0.0446493443049418
279,26862,11,"[1777.917700755414, 1219.4256854400207, 69.80913099374287]",0.1287788258014837,-0.1082776811618053
280,29118,12,"[1718.2867274098346, 1274.8837535123664, 89.7670156783498]",-0.1646246658502628,-0.2674710781504906
281,14684,6,"[740.5533270739843, 2247.8606752639043, 122.76433051698484]",0.0638972562387508,0.1019447073256409
284,67098,25,"[2134.1323203325437, 884.9600406531804, 101.39042892485618]",0.0827671872360097,-0.0102369386475137
287,75307,28,"[1984.3836395274147, 1050.5091868169325, 225.09523683057353]",0.1138176513082802,-0.0589199702575203
296,9426,4,"[1806.9091303166567, 1202.330053133406, 47.357097390197325]",0.1164327927631369,-0.1480833242768859
301,6774,3,"[2769.1788535684536, 333.68043743804435, 149.44478889873045]",-0.4645318223096247,0.2857553236027109
304,65870,26,"[2271.466243220402, 791.9408826941215, 9.463738171600454]",0.2667349099427703,-0.1124391752584084
309,109860,41,"[2047.4851830530938, 1068.7170580306147, 120.16090478791189]",0.1423344387106297,-0.0231186647614328
313,122964,45,"[652.5355914479042, 2429.2606375719006, 237.1123499560847]",0.1024113854954052,0.0435533295945927
315,6665,3,"[1718.5643114156467, 1312.416497404016, 107.49992498124531]",0.0331633322379531,0.068109871382702
318,39793,15,"[2648.8829633235064, 415.78221733557797, 106.234463347825]",0.0522889763794242,0.2118115994153047
319,3002,2,"[1700.0780702772695, 1332.795521064464, 98.83910726182545]",-0.0080202475661415,-0.1259433961357597
320,207953,77,"[1022.295870244142, 2238.0411743179097, 61.12680132986493]",0.1390622868614659,-0.0589294258630255
323,116499,43,"[1083.8840584563648, 2062.7500521219417, 240.1337007184611]",0.1583700934032024,-0.0801456316985811
324,2832,2,"[961.3794325012029, 2090.1489075793215, 130.42302259887006]",0.2605014295392439,0.031332618440086
325,11875,5,"[626.7595350153788, 2524.2113726200523, 276.85835789473686]",0.2201786209969655,-0.0463624753857063
