,sig_xx,sig_yy,sig_zz,sig_xy,sig_xz,sig_yz,eps_xx,eps_yy,eps_zz,eps_xy,eps_xz,eps_yz,Azimuth,Elevation
0,-2.837822119253302e-14,-1.366532952081238e-14,-1.8276377525147754e-14,-9.387630166500177e-15,3.468969484037128e-14,1.9901912035500455e-15,-5.10702591327572e-15,0.0,0.0,-3.701537888579826e-15,1.7627313877387868e-14,2.6744562777786674e-29,0.09460409923179701,0.07271606391530785
1,-1.465024475032109e-13,-8.817638218035384e-14,-1.3389188248704015e-13,1.061301956226763e-13,9.753135701486049e-14,-7.644533211694089e-14,-7.993605777301127e-15,0.0,0.0,2.996581640522132e-14,1.9230500741559073e-15,0.0,0.10933332818746154,0.06849478407384062
2,6.285949658272037e-14,1.816824948669183e-14,4.1227363941938366e-14,-1.0307101365848489e-15,2.846779854716432e-14,7.034223349586461e-15,9.769962616701378e-15,-5.662137425588298e-15,-5.88418203051333e-15,-5.1665325930170035e-15,1.223792923778101e-14,3.96042002945103e-15,0.1081133366201622,0.06884442395148131
3,-2.2665439236062426e-14,-2.950721851458121e-14,2.269665022447885e-14,-2.0645529776431783e-14,4.807473998229171e-14,2.9561288853188126e-15,1.2434497875801753e-14,-1.4876988529977098e-14,-4.218847493575595e-15,-2.0873790163716645e-14,4.4668190290204204e-14,2.5335190582779236e-14,0.11833913060545713,0.0659137927457982
4,2.5184727038145278e-14,8.957151101905857e-15,1.6846652896318827e-14,-5.051121003912818e-15,5.502867497421803e-14,8.969471463286249e-15,1.0658141036401503e-14,2.6645352591003757e-15,-1.5543122344752192e-15,-5.58152488581643e-15,2.7763958463486933e-14,2.6117511037229735e-15,0.1183391306054571,0.06591379274579819
5,-4.040137752371884e-14,-3.764475828367278e-14,-4.734287341499657e-14,8.640477324956564e-15,5.0262649523731257e-14,7.706393320993172e-15,3.552713678800501e-15,7.771561172376096e-15,-4.218847493575595e-15,3.5164722945704894e-15,2.371901836585167e-14,6.816881409386858e-15,0.11833913060545712,0.06591379274579821
6,7.920647757539402e-15,-3.864675783882338e-15,-1.0892905943911638e-14,1.1280612136308535e-14,2.355886566676578e-14,-3.757284150230817e-16,7.327471962526033e-15,0.0,0.0,7.013118329692225e-15,8.969186767031841e-15,0.0,0.1183391306054571,0.0659137927457982
7,-2.388233393179664e-14,-1.1825707124328379e-14,-7.111171229006316e-15,-1.4989417174013974e-14,6.127588519623529e-14,4.491849440896257e-15,1.5543122344752192e-15,2.886579864025407e-15,4.6629367034256575e-15,-7.544421779027345e-15,3.274116746413181e-14,3.2316155782911887e-15,0.07079278497860719,0.07954019715122819
8,9.563074276666324e-15,8.078612245498874e-15,1.675160588239881e-14,-8.558845377535349e-15,3.575858639932452e-14,5.113829855149255e-15,-2.6645352591003757e-15,0.0,0.0,-5.474415603104489e-15,1.8655760965368138e-14,0.0,0.0707927849786072,0.07954019715122819
9,-5.803619506278251e-14,-3.267450021718271e-14,-4.825993738011996e-14,2.7195018376288338e-14,3.5450577121548603e-14,-7.981888623993104e-15,-5.88418203051333e-15,0.0,0.0,1.3994164947727251e-14,1.1914888375498807e-14,-1.0255191767873153e-28,0.07408444578715084,0.07859683335004912
10,1.6845021392510075e-13,1.4174112491627202e-13,1.5098784422957133e-13,-6.45800692770094e-14,3.4416665112911473e-14,2.4405299374067675e-15,8.659739592076221e-15,0.0,0.0,-3.269207256460115e-14,1.7250776528142832e-14,0.0,0.07079278497860719,0.07954019715122822
11,6.18075072788668e-14,-9.383509142064434e-16,5.5337959110908166e-14,3.645737750683627e-15,6.817582660231508e-14,-3.2367099115983352e-15,1.1324274851176597e-14,-1.7208456881689926e-14,-2.220446049250313e-16,-3.591280759103772e-16,3.7037219861128435e-14,-6.61029599343869e-15,0.07079278497860719,0.07954019715122819
12,3.2173367764618064e-14,9.342852563902882e-15,2.2623846443867565e-14,-2.307502509365893e-15,2.755615879181936e-14,5.440517337348216e-15,5.995204332975845e-15,0.0,0.0,-2.8975872291143107e-15,1.4770985726702158e-14,2.40354477643336e-29,0.0707927849786072,0.0795401971512282
13,4.9485922104195356e-14,5.00013687344203e-15,3.2641318273055755e-14,-8.585395534804427e-15,5.3220838373612136e-14,9.334754094608232e-15,1.0880185641326534e-14,-8.992806499463768e-15,0.0,-6.417639338606852e-15,2.8529236099624775e-14,1.2326101301966974e-15,0.0707927849786072,0.0795401971512282
14,4.007427776353274e-14,2.0140866734313555e-14,3.7146722632898814e-14,-6.56167718884614e-15,3.2403793374068026e-14,6.93512158703955e-15,2.886579864025407e-15,0.0,0.0,-5.072440273371687e-15,1.722759689002512e-14,0.0,0.07079278497860722,0.07954019715122822
15,6.775072400502394e-14,1.0921558327830663e-14,3.6478308164623616e-14,1.1108093603010448e-15,5.749727133298611e-14,6.390002812033917e-15,1.4432899320127035e-14,-9.43689570931383e-15,-4.551914400963142e-15,-3.0815986949010166e-15,2.8245661813689104e-14,1.6436108987428781e-15,0.07079278497860722,0.0795401971512282
16,7.626124715434145e-14,6.466853180832474e-14,8.74359218336302e-14,-3.052153916403245e-14,2.7125046475692525e-14,7.2777140042107e-15,-3.9968028886505635e-15,0.0,0.0,-1.8023026521324204e-14,1.5159356366053584e-14,0.0,0.0707927849786072,0.07954019715122819
17,1.2815732376593523e-13,3.6982688839141125e-14,8.237361473393689e-14,-1.493496459999347e-14,5.852957389927751e-14,6.198715952934726e-15,1.7985612998927536e-14,-1.709743457922741e-14,-6.328271240363392e-15,-1.2217667036433144e-14,2.929120692952716e-14,1.2345322133233538e-15,0.0707927849786072,0.0795401971512282
18,1.2062021586780514e-13,5.96595091281248e-14,1.0078587428555926e-13,-2.7889454998999635e-14,2.748722308808434e-14,2.0696171480577207e-15,1.3100631690576847e-14,0.0,0.0,-2.1811024981963843e-14,1.4026845034668703e-14,0.0,0.0707927849786072,0.0795401971512282
