,sig_xx,sig_yy,sig_zz,sig_xy,sig_xz,sig_yz,eps_xx,eps_yy,eps_zz,eps_xy,eps_xz,eps_yz,Azimuth,Elevation
0,-2.9161981303457178e-15,-2.2500643155706235e-15,-2.250064315570626e-15,-1.1696574522930217e-15,2.4095981159234355e-16,-7.362442016813129e-31,-3.3306690738754696e-16,0.0,0.0,-5.848287261465125e-16,1.2047990579617212e-16,-8.628166150854817e-32,0.0,0.0
1,-1.0281879094352918e-15,-5.840986995852295e-16,-5.840986995852293e-16,1.588438810779596e-16,-3.8287841785871567e-16,-4.914143370696838e-31,-2.220446049250313e-16,0.0,0.0,7.942194053897988e-17,-1.9143920892935803e-16,-1.8488927466117464e-31,0.0,0.0
2,1.4977886784443942e-16,3.7182347276947184e-16,3.7182347276947135e-16,-7.083167012656706e-16,5.005615916577438e-16,-7.091122707666133e-31,-1.1102230246251565e-16,0.0,0.0,-3.5415835063283523e-16,2.5028079582887183e-16,0.0,0.0,0.0
3,-1.02183930631947e-15,8.838371830568726e-17,-3.5570549154437616e-16,-1.9038933947543468e-16,1.4917979294866393e-16,6.388457330276305e-17,-3.3306690738754696e-16,2.220446049250313e-16,0.0,-9.519466973771825e-17,7.458989647433201e-17,3.1942286651381614e-17,0.0,0.0
4,-4.3603021923751616e-16,8.058990612549219e-18,8.058990612547555e-18,-7.656291714035418e-16,4.1114338732739516e-16,1.8034715413386934e-16,-2.220446049250313e-16,0.0,0.0,-3.8281458570177107e-16,2.0557169366369755e-16,9.017357706693498e-17,0.0,0.0
5,-1.580125120189958e-15,4.182763241353236e-16,-2.581288571474012e-17,-3.161994636126937e-16,-1.8842281370103442e-16,-6.991822511859584e-18,-5.551115123125783e-16,4.440892098500626e-16,2.220446049250313e-16,-1.5809973180634794e-16,-9.421140685051723e-17,-3.4959112559299455e-18,0.0,0.0
6,-3.281822183329106e-16,-1.0613761340787924e-16,-1.0613761340787937e-16,-2.5178097976340123e-16,-1.636918156072108e-17,-4.750617391670846e-31,-1.1102230246251565e-16,0.0,0.0,-1.2589048988170066e-16,-8.184590780360543e-18,-2.416523181548257e-31,0.0,0.0
7,-2.6351525331076858e-15,2.9382725992690304e-17,-8.58795693707437e-16,-6.40850553328637e-16,3.3142718933315054e-16,3.8267071890475655e-16,-6.661338147750939e-16,6.661338147750939e-16,2.220446049250313e-16,-3.2042527666432013e-16,1.657135946665756e-16,1.9133535945237835e-16,0.0,0.0
8,-9.391204214005767e-16,-9.39120421400575e-16,-9.391204214005767e-16,-8.525943787550514e-16,2.8886469711317364e-16,-6.158283503997284e-31,0.0,0.0,0.0,-4.262971893775261e-16,1.4443234855658697e-16,-6.162975822039155e-32,0.0,0.0
9,-2.5273045322030817e-15,-1.417081507577925e-15,-1.4170815075779277e-15,-1.1955882864104844e-15,-2.713102217635398e-16,6.48750646247841e-31,-5.551115123125783e-16,0.0,0.0,-5.977941432052437e-16,-1.3565511088177024e-16,0.0,0.0,0.0
