,ID,Area,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD]
0,1890,26956,10,"[2828.8872978186673, 437.06050600979376, 238.23330612850572]",-0.16529559791150722,-0.1871604691819844
1,1905,30796,12,"[2827.908592024938, 437.1400831276789, 265.2750681906741]",0.10590356384924624,-0.2127415725389755
2,1909,18509,7,"[2872.5945756118645, 54.548652007131665, 214.9948133340537]",0.1304034439034708,1e-10
3,1920,42681,16,"[2860.0773412056888, 575.5353904547691, 219.5685668095874]",0.09273059785366072,-0.04675594119768368
4,1932,29281,11,"[2908.7024350261263, 108.37327960110652, 270.86766162357844]",0.10155741366340693,0.007212419623509077
5,1934,27509,11,"[2878.416481878658, 552.6487331418808, 272.54265876622196]",0.12466859618747458,-0.008583954009969615
6,1937,24276,9,"[2883.3575135936726, 20.649489207447687, 244.3073817762399]",-0.12415353064242901,0.24073312964715496
7,1963,18818,7,"[2910.694228929748, 115.77473695398024, 239.6726538420661]",0.07414598928476615,-0.162583290752745
8,1968,20747,8,"[2929.3342169952284, 674.5204607895117, 261.2872704487396]",-0.04532494865015472,0.14263183529066298
9,1977,40325,15,"[2967.418623682579, 265.08453812771234, 232.58407935523869]",0.07650442426423229,0.06122174283933786
10,1989,24883,10,"[2972.363621749789, 237.2360647831853, 269.56713418799984]",0.1234185279632373,0.13354602364739718
11,1993,19326,8,"[2985.7986132671012, 289.6580254579323, 254.41027631170442]",0.0418162473091553,0.07055039759903307
12,2001,31504,12,"[3015.143156424581, 410.0760220924327, 217.53418613509396]",0.03660451129975558,0.04708744203806728
13,2023,30178,11,"[3034.5328384916165, 389.18175492080326, 270.90145138842865]",0.1555278536263306,0.0667828814606463
14,2061,63025,23,"[3112.0797302657675, 555.8601983339944, 250.7986037286791]",0.01485898338037912,-0.02611816647160767
15,2084,42177,16,"[3137.4519050667427, 613.5127676221638, 225.11454110059987]",0.09085611166478692,0.17668100577582962
16,2087,36647,14,"[3123.9177285998853, 107.33871803967583, 227.55873604933555]",0.0685683755366184,0.09302552949138729
17,2097,8456,4,"[3111.1899243140965, 48.96676915799432, 254.97256385998108]",0.06310468489394828,0.26261500271242766
18,2105,15371,6,"[3159.5232580834036, 605.8935007481621, 273.29906967666386]",0.02784143123599852,-0.04861746886384225
19,2111,38620,15,"[3152.413749352667, 116.26051268772656, 259.3533920248576]",0.13724747859705974,-0.010498881811786067
20,2125,5332,2,"[3152.337584396099, 655.8064516129032, 212.46586646661666]",-0.00490530330951694,0.0393777940216967
21,2129,24586,9,"[3175.7851216139265, 249.9531847392825, 215.90596274302447]",0.05259151516189267,-0.018269041804545347
22,2152,19951,8,"[3183.8576011227506, 205.54007317928927, 264.93468999047667]",0.11865308854755008,-0.1180752093337399
23,2168,18131,7,"[3224.2035739893, 269.8494291544868, 273.7178864927472]",0.15799466730568276,-1e-10
24,2197,66445,25,"[3268.241402663857, 396.3288735044021, 245.0095718263225]",0.09957464678146913,-0.05933136076561853
25,2221,39729,15,"[3292.6157970248432, 454.9397165798283, 220.59286667170076]",0.11881750357206465,0.16190706188870826
26,2233,26744,10,"[3301.010507029614, 425.55335776248876, 268.3364492970386]",0.11068263024517604,-0.16865896059888158
27,2251,19550,8,"[3351.437084398977, 21.044245524296674, 243.6611253196931]",-0.09236939606286196,0.3490138022014398
28,2267,24853,10,"[3350.292077415201, 104.07632881342293, 216.92978714843278]",0.1563690900115856,0.05494329593160667
29,2281,44442,17,"[3384.136650015751, 591.6870302866657, 268.23489041897307]",0.23040360902825607,0.0914875391122042
30,2282,23991,9,"[3369.255179025468, 585.5048976699595, 223.34454587136844]",0.07693787509055848,0.06084462637979495
31,2289,37479,14,"[3392.5881426932415, 96.21638784385922, 269.4607913765042]",0.20189165803038425,0.08409195404291428
32,2301,96360,36,"[3445.1516604400167, 259.96362598588627, 236.30667289331672]",0.19478021712474647,-0.11547802348431707
33,2302,38748,15,"[3429.3773872199854, 661.5016258903686, 233.6838546505626]",0.018440521507495103,-0.019103840583820017
34,2328,23150,9,"[3477.7946004319656, 275.9009503239741, 268.23477321814255]",0.36821903513538146,-0.20565030686082347
