,ID,Area,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD]
0,585,5386,2,"[724.0545859636094, 1304.1034162643891, 66.89157073895284]",0.04313911735950434,0.013419518372882485
1,669,179435,66,"[955.2518627915401, 889.3506673725861, 26.121654080864936]",0.03089470289454598,0.1244532340880738
2,676,6389,3,"[857.8430114258882, 772.5388949757396, 63.61527625606511]",0.13705674492597444,-0.015067357430017842
3,696,3016,2,"[870.6034482758621, 790.8242705570292, 37.96385941644562]",0.0006956470461677577,0.17582547794794479
4,774,95066,35,"[1160.6965792186481, 774.3554688321798, 35.72234026886584]",-0.10511082029556382,0.10519372170631891
5,796,9542,4,"[1021.2334940264095, 947.7632571787885, 65.76598197442884]",0.024570954097879988,0.0818041199015086
6,866,8163,3,"[1238.7592796765894, 872.5355874065907, 66.93972804116133]",-0.1768953072042314,-0.0400393591110098
