n,a,e
1.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0,0.0
4.0,0.0,0.0
5.0,0.0,0.0
6.0,0.0,0.0
7.0,0.0997720319292765,-0.0064894077401975
8.0,0.0,0.0
9.0,0.0,0.0
10.0,0.0,0.0
11.0,0.0,0.0
12.0,0.0,0.0
13.0,0.0,0.0
14.0,0.0,0.0
15.0,0.0,0.0
16.0,-0.0924532024503813,-0.0766309934331924
17.0,-0.1445004324195675,-0.0687107088235462
18.0,-0.0186164258204232,-0.1633007531780949
19.0,0.0,0.0
20.0,0.0,0.0
21.0,0.0,0.0
22.0,0.0238618726668465,-0.0110155180260656
23.0,0.0,0.0
24.0,-0.1445004324195675,-0.0687107088235462
25.0,-0.0186164258204232,-0.1633007531780949
26.0,-0.0186164258204232,-0.1633007531780949
27.0,0.0,0.0
28.0,0.0,0.0
29.0,0.0238618726668465,-0.0110155180260656
30.0,0.0,0.0
31.0,0.0590568396872685,-0.0943809116738878
32.0,0.0590568396872685,-0.0943809116738878
33.0,0.0,0.0
34.0,0.0,0.0
35.0,0.0590568396872685,-0.0943809116738878
36.0,0.0,0.0
37.0,0.0,0.0
38.0,-0.0544019933818389,-0.0891164612938598
39.0,-0.0544019933818389,-0.0891164612938598
40.0,0.0,0.0
41.0,0.0,0.0
42.0,0.0,0.0
43.0,0.0,0.0
44.0,0.0,0.0
45.0,0.0,0.0
46.0,-0.0544019933818389,-0.0891164612938598
47.0,0.0485624023938962,-0.1715739377230331
48.0,0.0,0.0
49.0,0.0,0.0
50.0,0.0,0.0
51.0,0.0,0.0
52.0,0.0,0.0
53.0,0.0,0.0
54.0,0.0,0.0
55.0,0.0,0.0
56.0,0.0,0.0
57.0,0.0,0.0
58.0,0.0,0.0
59.0,0.0,0.0
60.0,0.0,0.0
61.0,0.0,0.0
62.0,0.0699232483936391,-0.1669350920463506
63.0,0.1195666658624955,0.0877906489690193
64.0,0.0,0.0
65.0,0.0997720319292765,-0.0064894077401975
66.0,0.0997720319292765,-0.0064894077401975
67.0,0.0,0.0
68.0,0.0,0.0
69.0,0.0,0.0
70.0,0.0699232483936391,-0.1669350920463506
71.0,0.1195666658624955,0.0877906489690193
72.0,0.0997720319292765,-0.0064894077401975
73.0,0.0997720319292765,-0.0064894077401975
74.0,0.0997720319292765,-0.0064894077401975
75.0,0.0,0.0
76.0,0.0997720319292765,-0.0064894077401975
77.0,0.0997720319292765,-0.0064894077401975
78.0,0.0,0.0
79.0,0.1497628916810773,0.0650407730769809
80.0,0.0997720319292765,-0.0064894077401975
81.0,0.0997720319292765,-0.0064894077401975
82.0,-0.079850231166203,-0.1501430951855668
83.0,-0.079850231166203,-0.1501430951855668
84.0,-0.079850231166203,-0.1501430951855668
85.0,0.0,0.0
86.0,0.0,0.0
87.0,0.0,0.0
88.0,0.0,0.0
89.0,-0.079850231166203,-0.1501430951855668
90.0,-0.079850231166203,-0.1501430951855668
91.0,-0.079850231166203,-0.1501430951855668
92.0,0.0,0.0
93.0,0.0,0.0
94.0,0.0,0.0
95.0,0.0,0.0
96.0,0.0,0.0
97.0,0.0,0.0
98.0,0.0,0.0
99.0,0.0,0.0
100.0,0.0,0.0
101.0,0.0,0.0
102.0,0.0,0.0
103.0,0.0,0.0
104.0,0.0,0.0
105.0,0.0,0.0
106.0,0.0,0.0
107.0,0.0,0.0
108.0,0.0,0.0
109.0,0.0,0.0
110.0,0.0,0.0
111.0,0.0,0.0
112.0,0.0,0.0
113.0,0.0,0.0
114.0,0.0,0.0
115.0,0.0,0.0
116.0,0.0,0.0
117.0,0.0,0.0
118.0,0.0,0.0
119.0,0.0,0.0
120.0,0.0,0.0
121.0,0.0,0.0
122.0,0.0,0.0
123.0,0.0,0.0
124.0,0.0,0.0
125.0,0.0,0.0
126.0,0.0,0.0
127.0,0.0,0.0
128.0,0.0,0.0
129.0,0.0,0.0
130.0,0.0,0.0
131.0,0.0,0.0
132.0,0.0,0.0
133.0,0.0,0.0
134.0,0.0,0.0
135.0,0.0,0.0
136.0,0.0,0.0
137.0,0.0,0.0
138.0,0.0,0.0
139.0,0.0,0.0
140.0,0.0,0.0
141.0,0.0,0.0
142.0,0.0,0.0
143.0,0.0,0.0
144.0,0.0,0.0
145.0,0.0,0.0
146.0,0.054077905641461,0.0004070126310708
147.0,0.054077905641461,0.0004070126310708
148.0,0.0997720319292765,-0.0064894077401975
149.0,0.0,0.0
150.0,0.0,0.0
151.0,0.0,0.0
152.0,0.0,0.0
153.0,0.0,0.0
154.0,0.054077905641461,0.0004070126310708
155.0,0.054077905641461,0.0004070126310708
156.0,0.0997720319292765,-0.0064894077401975
157.0,0.0,0.0
158.0,0.0485624023938962,-0.1715739377230331
159.0,0.0348650727310789,-0.0535552901455352
160.0,-0.0186164258204232,-0.1633007531780949
161.0,-0.0924532024503813,-0.0766309934331924
162.0,0.0,0.0
163.0,-0.0544019933818389,-0.0891164612938598
164.0,0.0,0.0
165.0,-0.0186164258204232,-0.1633007531780949
166.0,0.0,0.0
167.0,0.0,0.0
168.0,0.0,0.0
169.0,0.0,0.0
170.0,0.0,0.0
171.0,0.0,0.0
172.0,0.0,0.0
173.0,0.0,0.0
174.0,-0.0544019933818389,-0.0891164612938598
175.0,0.0,0.0
176.0,0.0,0.0
177.0,0.0,0.0
178.0,0.0238618726668465,-0.0110155180260656
179.0,-0.0544019933818389,-0.0891164612938598
180.0,0.0,0.0
181.0,0.0,0.0
182.0,0.0,0.0
183.0,-0.0544019933818389,-0.0891164612938598
184.0,0.0,0.0
185.0,0.0,0.0
186.0,-0.0924532024503813,-0.0766309934331924
187.0,0.0,0.0
188.0,0.0,0.0
189.0,-0.0544019933818389,-0.0891164612938598
190.0,0.0,0.0
191.0,0.0238618726668465,-0.0110155180260656
192.0,0.0,0.0
193.0,0.0,0.0
194.0,0.0,0.0
195.0,0.0,0.0
196.0,0.0,0.0
197.0,0.0,0.0
198.0,-0.0544019933818389,-0.0891164612938598
199.0,0.0,0.0
200.0,0.0,0.0
201.0,0.0,0.0
202.0,0.0,0.0
203.0,-0.0924532024503813,-0.0766309934331924
204.0,-0.0924532024503813,-0.0766309934331924
205.0,-0.0924532024503813,-0.0766309934331924
206.0,-0.0186164258204232,-0.1633007531780949
207.0,-0.0186164258204232,-0.1633007531780949
208.0,-0.0924532024503813,-0.0766309934331924
209.0,-0.0186164258204232,-0.1633007531780949
210.0,-0.0186164258204232,-0.1633007531780949
211.0,-0.0186164258204232,-0.1633007531780949
212.0,0.0348650727310789,-0.0535552901455352
213.0,0.0,0.0
214.0,0.0,0.0
215.0,0.0348650727310789,-0.0535552901455352
216.0,0.0348650727310789,-0.0535552901455352
217.0,0.0348650727310789,-0.0535552901455352
218.0,0.0238618726668465,-0.0110155180260656
219.0,0.0348650727310789,-0.0535552901455352
220.0,0.0348650727310789,-0.0535552901455352
221.0,0.0238618726668465,-0.0110155180260656
222.0,0.0,0.0
223.0,0.0,0.0
224.0,0.0,0.0
225.0,0.0,0.0
226.0,0.0,0.0
227.0,0.0,0.0
228.0,0.0,0.0
229.0,-0.0544019933818389,-0.0891164612938598
230.0,-0.0544019933818389,-0.0891164612938598
231.0,-0.0544019933818389,-0.0891164612938598
232.0,-0.0544019933818389,-0.0891164612938598
233.0,0.0485624023938962,-0.1715739377230331
234.0,-0.0544019933818389,-0.0891164612938598
235.0,0.0,0.0
236.0,0.0,0.0
237.0,0.0,0.0
238.0,0.0,0.0
239.0,0.0,0.0
240.0,0.0,0.0
241.0,0.0,0.0
242.0,0.0,0.0
243.0,0.0,0.0
244.0,0.0,0.0
245.0,0.0,0.0
246.0,0.0,0.0
247.0,0.0,0.0
248.0,0.0,0.0
249.0,0.0,0.0
250.0,0.0,0.0
251.0,-0.0267304437567605,-0.0816980092062913
252.0,0.0,0.0
253.0,-0.0544019933818389,-0.0891164612938598
254.0,0.0,0.0
255.0,0.0,0.0
256.0,-0.0544019933818389,-0.0891164612938598
257.0,0.0,0.0
258.0,0.0,0.0
259.0,0.0,0.0
260.0,0.0,0.0
261.0,0.0,0.0
262.0,0.0,0.0
263.0,0.0,0.0
264.0,-0.0186164258204232,-0.1633007531780949
265.0,0.0,0.0
266.0,0.0,0.0
267.0,0.0,0.0
268.0,-0.0924532024503813,-0.0766309934331924
269.0,-0.0924532024503813,-0.0766309934331924
270.0,-0.0544019933818389,-0.0891164612938598
271.0,0.0,0.0
272.0,0.0,0.0
273.0,0.0,0.0
274.0,0.0,0.0
275.0,0.0,0.0
276.0,0.0,0.0
277.0,0.0,0.0
278.0,0.0,0.0
279.0,0.0,0.0
280.0,-0.0544019933818389,-0.0891164612938598
281.0,0.0,0.0
282.0,-0.0544019933818389,-0.0891164612938598
283.0,0.0,0.0
284.0,0.0,0.0
285.0,0.0,0.0
286.0,0.132094003517721,-0.2199777979175537
287.0,0.0,0.0
288.0,0.0997720319292765,-0.0064894077401975
289.0,0.0,0.0
290.0,0.0,0.0
291.0,0.1497628916810773,0.0650407730769809
292.0,-0.079850231166203,-0.1501430951855668
293.0,0.0997720319292765,-0.0064894077401975
294.0,0.0,0.0
295.0,-0.079850231166203,-0.1501430951855668
296.0,0.132094003517721,-0.2199777979175537
297.0,0.1294592720335017,-0.0897442010766655
298.0,0.0,0.0
299.0,0.0997720319292765,-0.0064894077401975
300.0,0.0,0.0
301.0,0.0997720319292765,-0.0064894077401975
302.0,0.132094003517721,-0.2199777979175537
303.0,-0.079850231166203,-0.1501430951855668
304.0,0.0997720319292765,-0.0064894077401975
305.0,0.0,0.0
306.0,0.1497628916810773,0.0650407730769809
307.0,0.0997720319292765,-0.0064894077401975
308.0,-0.079850231166203,-0.1501430951855668
309.0,0.0,0.0
310.0,0.0,0.0
311.0,0.1497628916810773,0.0650407730769809
312.0,-0.079850231166203,-0.1501430951855668
313.0,0.0,0.0
314.0,0.0,0.0
315.0,0.0,0.0
316.0,0.0,0.0
317.0,0.0,0.0
318.0,-0.079850231166203,-0.1501430951855668
319.0,0.0997720319292765,-0.0064894077401975
320.0,0.0997720319292765,-0.0064894077401975
321.0,0.0997720319292765,-0.0064894077401975
322.0,0.0,0.0
323.0,0.0,0.0
324.0,0.0,0.0
325.0,-0.079850231166203,-0.1501430951855668
326.0,0.0,0.0
327.0,-0.079850231166203,-0.1501430951855668
328.0,0.0,0.0
329.0,0.0,0.0
330.0,0.0,0.0
331.0,0.0,0.0
332.0,0.0,0.0
333.0,0.0,0.0
334.0,0.0,0.0
335.0,0.0,0.0
336.0,0.0,0.0
337.0,0.0,0.0
338.0,0.0,0.0
339.0,0.0,0.0
340.0,0.0,0.0
341.0,0.1195666658624955,0.0877906489690193
342.0,0.0997720319292765,-0.0064894077401975
343.0,0.0,0.0
344.0,0.0997720319292765,-0.0064894077401975
345.0,0.0997720319292765,-0.0064894077401975
346.0,0.0997720319292765,-0.0064894077401975
347.0,0.0997720319292765,-0.0064894077401975
348.0,0.0997720319292765,-0.0064894077401975
349.0,0.0997720319292765,-0.0064894077401975
350.0,0.0997720319292765,-0.0064894077401975
351.0,0.0997720319292765,-0.0064894077401975
352.0,0.1497628916810773,0.0650407730769809
353.0,0.1497628916810773,0.0650407730769809
354.0,0.0997720319292765,-0.0064894077401975
355.0,0.0997720319292765,-0.0064894077401975
356.0,0.0997720319292765,-0.0064894077401975
357.0,0.0997720319292765,-0.0064894077401975
358.0,-0.079850231166203,-0.1501430951855668
359.0,-0.079850231166203,-0.1501430951855668
360.0,-0.079850231166203,-0.1501430951855668
361.0,0.0,0.0
362.0,0.0,0.0
363.0,-0.079850231166203,-0.1501430951855668
364.0,0.0,0.0
365.0,0.0,0.0
366.0,0.0,0.0
367.0,0.0,0.0
368.0,0.132094003517721,-0.2199777979175537
369.0,0.132094003517721,-0.2199777979175537
370.0,0.0,0.0
371.0,0.0,0.0
372.0,0.0,0.0
373.0,0.0,0.0
374.0,0.0,0.0
375.0,0.0,0.0
376.0,0.1497628916810773,0.0650407730769809
377.0,0.0,0.0
378.0,0.1294592720335017,-0.0897442010766655
379.0,0.0,0.0
380.0,0.132094003517721,-0.2199777979175537
381.0,0.0,0.0
382.0,0.0,0.0
383.0,0.0,0.0
384.0,0.0,0.0
385.0,-0.079850231166203,-0.1501430951855668
386.0,0.132094003517721,-0.2199777979175537
387.0,0.0997720319292765,-0.0064894077401975
388.0,0.0997720319292765,-0.0064894077401975
389.0,0.0997720319292765,-0.0064894077401975
390.0,0.0997720319292765,-0.0064894077401975
391.0,0.0997720319292765,-0.0064894077401975
392.0,0.0,0.0
393.0,0.1294592720335017,-0.0897442010766655
394.0,0.132094003517721,-0.2199777979175537
395.0,0.1294592720335017,-0.0897442010766655
396.0,0.1294592720335017,-0.0897442010766655
397.0,-0.079850231166203,-0.1501430951855668
398.0,0.0,0.0
399.0,0.0,0.0
400.0,-0.079850231166203,-0.1501430951855668
401.0,0.0,0.0
402.0,0.0,0.0
403.0,0.0,0.0
404.0,0.0,0.0
405.0,0.1497628916810773,0.0650407730769809
406.0,0.0997720319292765,-0.0064894077401975
407.0,0.1497628916810773,0.0650407730769809
408.0,0.1497628916810773,0.0650407730769809
409.0,-0.079850231166203,-0.1501430951855668
410.0,-0.079850231166203,-0.1501430951855668
411.0,-0.079850231166203,-0.1501430951855668
412.0,0.0997720319292765,-0.0064894077401975
413.0,0.0997720319292765,-0.0064894077401975
414.0,0.0997720319292765,-0.0064894077401975
415.0,0.0,0.0
416.0,0.0,0.0
417.0,0.0,0.0
418.0,0.0,0.0
419.0,0.0,0.0
420.0,0.0,0.0
421.0,0.0,0.0
422.0,0.0,0.0
423.0,0.0,0.0
424.0,0.0,0.0
425.0,0.0,0.0
426.0,0.0,0.0
427.0,0.0,0.0
428.0,0.0,0.0
429.0,0.0,0.0
430.0,0.0,0.0
431.0,-0.0435148047322685,-0.0880553060854518
432.0,0.0,0.0
433.0,0.0,0.0
434.0,0.0,0.0
435.0,0.0,0.0
436.0,0.0,0.0
437.0,0.0,0.0
438.0,0.0,0.0
439.0,0.0,0.0
440.0,0.0,0.0
441.0,0.0,0.0
442.0,0.0,0.0
443.0,0.0,0.0
444.0,0.0,0.0
445.0,0.0,0.0
446.0,0.0,0.0
447.0,0.0,0.0
448.0,0.0,0.0
449.0,0.0,0.0
450.0,0.0,0.0
451.0,0.0,0.0
452.0,0.0,0.0
453.0,0.0,0.0
454.0,0.0,0.0
455.0,0.0,0.0
456.0,0.0,0.0
457.0,0.0,0.0
458.0,0.0,0.0
459.0,0.0,0.0
460.0,0.0,0.0
461.0,0.0,0.0
