ID,Area,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD]
858,389546,146,"[3025.1773961050308, 1466.9613656079923, 88.30061762135482]",-0.3579318381862177,-0.0403363942192703
938,332884,123,"[3238.5460147407084, 1339.4963657877843, 89.77394932561205]",-0.1363744451041432,-0.1088400749061227
1141,210533,78,"[3660.049878013946, 1365.5862684695014, 62.827445252876714]",-0.0450495083779712,0.0253903437470333
1145,70258,27,"[2883.5110771394634, 2010.2210856727556, 74.24627199633797]",-0.1290826389532421,-0.1508518159752893
1218,21041,8,"[2880.021942239907, 2106.8260183137236, 14.307875100993298]",-0.1197874887606702,-0.2166537396697564
1249,72865,28,"[3107.7499478871555, 1990.1760107178557, 70.48284934629824]",-0.1283446729795083,-0.1642216517936556
1296,277114,103,"[3079.815339577618, 2198.252758651499, 101.55917508973754]",-0.0435148047322685,-0.0880553060854518
1314,151204,56,"[3076.557421025938, 2270.8140093441934, 29.48170021957091]",-0.1268028394790075,-0.078848220556046
1317,21019,8,"[3106.8329605547233, 2076.1162722235117, 10.193681906846187]",-0.1444492532974612,0.0132228604812953
1345,78290,29,"[3335.739879463057, 1950.0853746345883, 107.29478860646316]",-0.0595356086330273,0.0527185153496634
1362,73757,27,"[3330.310206322178, 2024.1321511468582, 50.53666770611603]",0.0172952612190733,-0.0704297206768583
1390,258021,96,"[3301.0852074304535, 2237.9217761308964, 89.75930762936892]",0.0580125694866678,-0.121400776037793
1425,35474,13,"[3298.5802409209837, 2179.1324537859236, 48.98700456672493]",-0.0748896559343865,-0.0081157071185233
1440,15660,6,"[3313.2583079716546, 2180.1372054314543, 18.628224776500637]",-0.1718244981575691,-0.3256862958090872
1454,80165,30,"[3573.2441698313114, 1975.7838553732374, 100.00686084949791]",0.0517768403447783,-0.2489071466238283
1489,71333,28,"[3560.66906683434, 2066.522145086098, 52.639205238572174]",0.196223831607415,-0.0683604550546164
1500,261522,97,"[3533.2225851502712, 2207.6856547655916, 103.96590864186324]",-0.079850231166203,-0.1501430951855668
1533,103938,38,"[3525.1818437642523, 2257.015872614864, 40.586801747195445]",0.0082313378235323,-0.1083999625884752
1576,82497,31,"[3797.6200580129034, 2055.1056278079986, 80.46279123883645]",-0.04586334979953,-0.1602903365858402
1600,146573,56,"[3771.418967761366, 2174.5913420609077, 108.06737049028611]",0.0675610279041939,-0.0529436315179646
1622,54233,20,"[3788.256349246284, 2151.294705644498, 42.92181881880036]",0.2324371420590617,-0.0717212769653108
