Node,Azi_[RAD],Ele_[RAD]
"[189.68672477690416, 95.48390720818315, 12]",0.1158866909688776,0.112844060986648
"[178.3730162779193, 142.152954766495, 37]",0.1158866909688776,0.112844060986648
"[199.58621971351567, 68.61384952309436, 25]",0.1158866909688776,0.112844060986648
"[184.73697730859794, 73.56359699140012, -4]",0.1158866909688776,0.112844060986648
"[190.39383155809037, 94.77680042699649, 6]",0.1158866909688776,0.112844060986648
"[206.65728752538098, 60.12856814885572, 21]",0.1158866909688776,0.112844060986648
"[184.02987052741173, 144.98138189124165, 28]",0.1158866909688776,0.112844060986648
"[209.4857146501272, 68.61384952309436, 25]",0.1158866909688776,0.112844060986648
"[166.3522009977478, 230.54130241481334, 34]",0.1158866909688776,0.112844060986648
"[178.3730162779193, 215.6920600098956, 32]",0.1158866909688776,0.112844060986648
"[192.51515190164992, 154.88087682785317, 33]",0.1158866909688776,0.112844060986648
"[191.80804512046325, 80.63466480326588, 9]",0.1158866909688776,0.112844060986648
"[196.757792588769, 81.34177158445164, 11]",0.1158866909688776,0.112844060986648
"[196.0506858075828, 90.53415973987694, 26]",0.1158866909688776,0.112844060986648
"[191.10093833927704, 78.51334445970588, 13]",0.1158866909688776,0.112844060986648
"[205.95018074419477, 58.007247805296174, 24]",0.1158866909688776,0.112844060986648
"[174.83748237198643, 199.42860404260546, 40]",0.1158866909688776,0.112844060986648
"[176.95880271554597, 92.65548008343694, 4]",0.1158866909688776,0.112844060986648
"[172.0090552472402, 207.9138854168441, 35]",0.1158866909688776,0.112844060986648
"[168.4735213413078, 176.09408026344954, 29]",0.1158866909688776,0.112844060986648
"[194.63647224520946, 80.63466480326542, 12]",0.1158866909688776,0.112844060986648
"[210.89992821250053, 130.83924626751013, 46]",0.0475405706932571,-0.0385662025810126
"[236.355772335216, 58.714354586482386, 48]",0.0475405706932571,-0.0385662025810126
"[209.4857146501272, 183.16514807531485, 48]",0.0475405706932571,-0.0385662025810126
"[212.3141417748734, 169.02301245158378, 54]",0.0475405706932571,-0.0385662025810126
"[233.52734521046978, 103.96918858242134, 61]",0.0475405706932571,-0.0385662025810126
"[212.31414177487295, 176.09408026344954, 53]",0.0475405706932571,-0.0385662025810126
"[227.16338417979068, 48.1077528686842, 54]",0.0475405706932571,-0.0385662025810126
"[230.69891808572356, 98.31233433292891, 61]",0.0475405706932571,-0.0385662025810126
"[221.5065299302987, 118.81843098733862, 59]",0.0475405706932571,-0.0385662025810126
"[226.45627739860447, 48.814859649870414, 47]",0.0475405706932571,-0.0385662025810126
"[221.5065299302987, 155.58798360903984, 52]",0.0475405706932571,-0.0385662025810126
"[225.04206383623114, 77.09913089733254, 53]",0.0475405706932571,-0.0385662025810126
"[217.97099602436583, 88.4128393963174, 49]",0.0475405706932571,-0.0385662025810126
"[224.33495705504447, 128.71792592395104, 49]",0.0475405706932571,-0.0385662025810126
"[237.06287911640266, 39.62247149444556, 47]",0.0475405706932571,-0.0385662025810126
"[242.71973336589508, 45.27932574393799, 54]",0.0475405706932571,-0.0385662025810126
"[234.23445199165644, 29.722976557834045, 49]",0.0475405706932571,-0.0385662025810126
"[235.64866555402932, 154.1737700466665, 72]",0.1006272807197334,0.0582602761750649
"[239.8913062411484, 151.34534292191984, 82]",0.1006272807197334,0.0582602761750649
"[228.57759774216356, 195.1859633554859, 79]",0.1006272807197334,0.0582602761750649
"[225.04206383623114, 166.19458532683757, 74]",0.1006272807197334,0.0582602761750649
"[238.47709267877553, 148.51691579717408, 78]",0.1006272807197334,0.0582602761750649
"[234.234451991656, 159.83062429615893, 73]",0.1006272807197334,0.0582602761750649
"[229.9918113045369, 198.01439048023258, 76]",0.1006272807197334,0.0582602761750649
"[247.66948083420084, 140.73874120412165, 78]",0.1006272807197334,0.0582602761750649
"[216.5567824619925, 204.37835151091122, 68]",0.1006272807197334,0.0582602761750649
"[232.82023842928356, 168.31590567039711, 83]",0.1006272807197334,0.0582602761750649
"[209.4857146501272, 201.549924386165, 51]",0.1476350093537127,-0.0463624753857063
"[208.07150108775386, 207.20677863565743, 58]",0.1476350093537127,-0.0463624753857063
"[151.50295859283005, 293.47380594041624, 37]",0.223335656138246,0.0286383399901761
"[138.06792975028566, 302.6661940958411, 36]",0.223335656138246,0.0286383399901761
"[150.08874503045718, 309.0301551265202, 50]",0.223335656138246,0.0286383399901761
"[133.1181822819799, 334.4859992492361, 47]",0.223335656138246,0.0286383399901761
"[123.92579412655505, 329.5362517809299, 38]",0.223335656138246,0.0286383399901761
"[150.08874503045718, 270.84638894244654, 36]",0.223335656138246,0.0286383399901761
"[163.52377387300157, 291.3524855968567, 50]",0.223335656138246,0.0286383399901761
"[117.56183309587595, 335.900212811609, 38]",0.223335656138246,0.0286383399901761
"[130.99686193842035, 321.0509704066917, 41]",0.223335656138246,0.0286383399901761
